n4633262,一位空军少校穿越生死之旅（上）
n4633340,一位空军少校穿越生死之旅（中）
n4633360,一个空军少校穿越生死之旅（下）
n4643827,水晶心——一位青年教师的生命之歌（上）
n4644608,水晶心——一位青年教师的生命之歌（下）
n4652808,忆刘成军（上）和英雄在一起的日子
n4653491,忆刘成军（中）长春插播后狱中重逢
n4653539,忆刘成军（下）最后的诀别
n4655297,【纪实】用生命换来的50分钟（上）
n4655523,【纪实】用生命换来的50分钟（下）
n4657607,河北农民陈运川一家的故事（上）
n4657787,河北农民陈运川一家的故事（下）
n7527489,流泪的并蒂莲（上）
n7527553,流泪的并蒂莲（下）
n8161907,长春农行最美女职员的悲惨遭遇 (上)
n8162048,长春农行最美女职员的悲惨遭遇 (下)
n8252514,王晓丹返京救父记之一：十八年首相逢
n8256038,王晓丹返京救父记之二：与警察对峙
n8259303,王晓丹返京救父记之三：无情的离别之夜
n8381547,酷刑下的勇者——袁江
n8440302,溶入朝阳——石家庄美发师丁延的故事
n8405757,法轮功学员“朱慧光”的修炼故事（上）
n8428475,“街头小混混”无师自通 变身天才建筑师（上）
n8405784,法轮功学员“朱慧光”的修炼故事（下）
n8431116,“街头小混混”无师自通 变身天才建筑师（下）
n8458041,中国时装大赛金奖得主金明锋的故事 (上)
n8458155,中国时装大赛金奖得主金明锋的故事 (下)
n8546691,五月飞雪——石家庄奇冤
n8548821,姚远鹰的故事之一：奇迹发生在眼前
n8548896,姚远鹰的故事之二：迷茫中走向成熟
n8561285,姚远鹰的故事之三：六百多个日夜的煎熬
n8561332,姚远鹰的故事之四：孝女奔走营救双亲
n8607911,与风雪同名的女孩（上）
n8608005,与风雪同名的女孩（下）
n8739789,回荡在大海上的甚高频电波（上）
n8743186,回荡在大海上的甚高频电波（下）
n9147756,一个华裔女赌徒的终极好运
n10146883,关注深陷冤狱的法轮功学员车平平
n10546697,阳光之州的优昙婆罗花
n10682468,缘结东方 知名莱姆病专家“同邪恶作战”
n10127794,豪门女总裁的私人生活
n11243655,如何带好问题生 真善忍解难题
n11266497,同化“真、善、忍” 长春大法弟子颂师恩
n11267378,大陆游客支持佩服法轮功 三退景点故事多
n11267496,少年心声：你若心里难受 就请看《转法轮》
n11267735,庆法轮大法日 以色列女画家感悟大法指引方向
n11267759,大法弟子回忆与师父在一起的美好时光
n11268195,以色列母亲修大法学会聆听 亲子关系更融洽
n11269457,乌克兰祖母：法轮大法让我获得新生
n11258922,穿越生死的团聚
n11358618,明真相后 大陆公检法人员抛弃中共
n11368594,二度死里逃生 前大陆白领熬过酷刑迎来自由
n11466682,患脑瘤等死 中共总参工程师炼法轮功后痊愈
n11494502,探寻东方养生道 希腊青年在修炼中得到升华
n11723297,历经磨难 尽显英华
n11845215,《求救信》主人公离奇身亡 观众质疑死因
n12088664,姜光宇：人生如逆旅 大法伴我行
n12094118,人间最美画面 摄影师看513世界法轮大法日
n12099607,西方人回忆李洪志先生在瑞典传功讲法
n12198750,千里跋涉 三麻袋书 贵州古稀老人台湾传福音
n12408647,王友群：读《转法轮》何罪之有？
n12414325,大陆移民从害怕到修法轮功 人生不再迷茫
n12724685,洛城法轮功学员祝李洪志大师中国新年好
n12778386,一个来自共产中国的爱情故事：营救未婚妻
n12880712,酷刑击不垮信念 八旬老人帮助7.5万华人
n12938640,培养孩子道德高尚 前特级教师推荐一本书
n13033149,2021年新西兰法轮大法修炼交流会圆满举行
