n1189512,穆正新：志愿军战俘系列之一—红色滑铁卢（1）
n1198736,穆正新：志愿军战俘系列之一 — 红色滑铁卢（2）
n1203118,穆正新：志愿军战俘系列之一：红色滑铁卢（3）
n1207754,穆正新：志愿军战俘系列之一：红色滑铁卢（4）
n1214191,穆正新：志愿军战俘系列之一：红色滑铁卢(5)
n1219818,穆正新：志愿军战俘系列之二：甄别与反甄别（1）
n1231387,穆正新：志愿军战俘系列之二：甄别与反甄别（2）
n1248789,穆正新：志愿军战俘系列之二 — 甄别与反甄别（3）
n3980600,史洪愿：天安门自焚伪案与傅怡彬杀人事件
n3986779,史洪愿：中共到底代表了谁的根本利益！
n3988714,史洪愿：工人被戴上“领导阶级”的高帽子
n3992735,史洪愿：战无不胜的“人民军队”？
n3994605,史洪愿：中国人有言论自由与选举权吗？
n3996666,史洪愿：信仰自由是不可能兑现的空头支票
n3999268,史洪愿：多党合作制是共产党专制独裁的遮羞布
n4002311,史洪愿：毛泽东在“文革”中有错无罪？
n4003891,史洪愿：林彪、“四人帮”利用了毛泽东
n4007922,史洪愿：江氏集团对法轮功的诬陷与疯狂镇压（上）
n4014141,史洪愿：勇堵枪眼的黄继光？
n4015927,史洪愿：揭开“雷锋”的骗局和谎言
n4019565,史洪愿：“烈士”遗孤江泽民？
n4021328,史洪愿：胡风、章罗、彭德怀之反党集团
n4024217,史洪愿：毛泽东与刘少奇 动个指头就打倒你
n4025968,史洪愿：叛徒、内奸、工贼 刘少奇
n8663018,李林一：中共变异了西方世界的思维和行为
n8668553,玉清心：打开右派自杀档案 让人欲哭无泪
n8664799,高天韵：夹边沟——反右运动的悲凉见证
n8677531,高天韵：根正苗红的他说“文革是可耻10年”
n8682051,中共“镇反”运动按比例杀人内幕
n8695945,高天韵：反右运动——浸血的世界纪录
n8733609,曾伯炎：右派，惨受株连的妻儿们
n8735098,高天韵：她为何成了文革“要案”的主角？
n8761362,中共杀害“文革思想者” 刑前残忍“消声”
n8764186,文革湘西“特一号”案 丁祖晓批个人崇拜被杀
n8779818,文革究竟死多少人？邓小平：那是天文数字
n8786901,延安整风的历史碎片：整疯、整死、处决
n8788821,大饥荒死亡人数或超四千万 中共内部数据泄密
n8797603,大饥荒饿死人 毛泽东秘密会议上发表恐怖言论
n8797143,周晓辉：马列主义与中华传统文化格格不入
n8805465,与纳粹相似的罪恶 《苏联故事》揭苏共暴行
n8823766,周晓辉：从金正男被毒杀看共产党暗杀历史(上)
n8827990,清元：一座叫朝鲜的监狱
n8826529,周晓辉：从金正男被毒杀看共产党暗杀历史(下)
n8822194,中国共产党的杀人历史简述
n8832992,农工党“十大右派”与一中央委员的悲惨结局
n8849381,长春围困战──“死城”的记忆
n8851944,大饥荒中共禁止开仓放粮 出动军队镇压饥民
n8861612,苏联共产党的杀人历史简述（上）
n8861707,苏联共产党的杀人历史简述（下）
n8885166,中共整肃AB团引富田事变 红20军700军官被杀
n8892634,柬埔寨共产党的杀人历史简述
n8941831,七名被判死刑的北京大学“右派分子”（上）
n8946588,契卡如何成为列宁的杀人工具？
n8954887,审判日本战犯的首席检察官和他的儿子们
n8946714,契卡无法无天 苏联外交部都头痛不已
n8966475,广西文革中的吃人狂潮（上）
n8972322,广西文革中的吃人狂潮（中）
n8974261,林辉：同仁堂传人自杀 母亲和夫人被打死
n8974775,李宇明：大饥荒时期的红色画家
n8969781,吴祖光与新凤霞——文艺伉俪的人生磨难
n8974296,林辉：李大钊与其被中共批斗的长子
n8969160,苏共暴政下的群体灭绝（上）
n8980914,苏共暴政下的群体灭绝（下）
n8976181,广西文革中的吃人狂潮（下）
n8984886,苏共与德国纳粹的秘密协议
n8997049,丁抒：执政初期的镇反与土改阳谋
n9000152,丁抒：“三反”“五反”下指标逼供信
n9004541,红色恐怖的野蛮狂欢
n9036016,【书评】长春围城 其实一直都没有结束
n9071211,林辉：中共没放过袁世凯黎元洪的后人
n9082113,林辉：飞虎队英雄与投共飞行员的失足之恨
n9082737,李锐揭文革秦城监狱内幕：近30高官死亡
n9106617,香港赤祸——中共操控“六七暴动”内幕
n9106054,共产党与恐怖主义的渊源
n9113680,朝鲜共产政权七大暴行 让人毛骨悚然
n9117217,林辉：曾经被中共活体解剖的国军战俘
n9163409,周晓辉：“匈牙利斯大林”发动的大清洗
n9177055,周晓辉：匈牙利十月革命 中共支持苏出兵镇压
n9201338,林辉：朱自清之子被杀 镇反运动冤案无数
n9192009,中共六四屠杀实录（1）血幕拉开
n9215316,美国解密档案 披露江泽民六四中扮演重要角色
n9192053,中共六四屠杀实录（2）他们开枪了！
n9192063,中共六四屠杀实录（3）活着的人依然前行
n9219868,美加解密文件揭六四血腥屠杀内幕及死亡人数
n9221043,让图片诉说中共嗜血史 巡回展车队抵洛杉矶
n9192072,中共六四屠杀实录（4）杀人像打鸟一样
n9225182,杨宁：六四屠杀后中共官方媒体人的抗议
n9192082,中共六四屠杀实录（5）究竟死了多少人？
n9194875,共产主义的黑暗源头（上）
n9229643,共产主义的黑暗源头（中）
n9246992,组图：《古拉格绘本》揭苏共种族灭绝罪行
n9250661,高天韵：从《古拉格群岛》到《古拉格绘本》
n9268175,林辉：中共建政后至九十年代的活摘器官
n9296547,袁斌：是谁割破了张志新们的喉管？
n9299728,金正恩用哪些残忍至极的手段制造恐惧
n9320118,一个朝鲜族家庭在文革中的凄惨遭遇
n9302854,惨遭中共鞭尸的千古义丐武训
n9329041,文革中红卫兵折磨死多少北京老师？
n9337205,黄万里女儿忆文革：曾有女生上书毛泽东
n9352295,杨宁：文革被打倒祖坟被挖 杨尚昆死不瞑目
n9371573,辛子陵：共产主义地狱（上）
n9375056,辛子陵：共产主义地狱（下）
n9378779,你不了解的广西文革：杀人像杀猪无罪恶感
n9381537,你不了解的广西文革：武装剿“匪”杀人为乐
n9382799,你不了解的广西文革：国家机器带头人吃人
n9455987,沉静：枫红血祭青葱魂
n9462988,【秘档】庐山会议后四川饿死人超过一千万
n9463053,【秘档】毛泽东的亲戚要求解散食堂
n9497661,从中共杀人运动逃出 地主家小姐的血泪记忆
n9506831,林辉：让党史需重写的纪录片《暴风骤雨》
n9521771,【秘档】延安整风中周恩来的丑态
n9527083,【秘档】骇人听闻的延安“抢救运动”
n9532641,林辉：朱自清“被饿死”与其子之冤死
n9533262,【秘档】延安整风中一个特务未发现
n9542912,【秘档】富田事变和肃反AB团（上）
n9545858,宋永毅：广西文革期间中共军队谋杀诱杀平民
n9544871,【秘档】富田事变和肃反AB团（下）
n9546210,林辉：“坏透了”的康生 一生害人
n9570739,杨宁：中共核试验 多少遗害不为人知？
n9572484,旅加华人回顾：中共土改运动害得我家破人亡
n9584165,林辉：唐山和汶川大地震到底死了多少人？
n9595359,【秘档】仿苏共专政 中共镇反杀71万余人
n9603304,“四千万饿殍” 中国人间变地狱
n9603343,饿殍遍野 共产主义中国和苏联的共同悲剧
n9599515,是什么造成了中国三年大饥荒
n9610561,震惊世界的苏联卡廷大屠杀真相
n9605085,致命的高出口 大饥荒时中共用粮食换黄金
n9659019,期刊：《九评特刊》153期
n9687928,钟革：朱毛红军使国人成人血馒头（五）
n9705382,比金正恩可怕 中共党魁不惜死3亿人打核战
n9720419,沉静：日本赤军的兴衰覆灭
n9727821,唐虞：官方不让你知道的长春惨剧
n9748953,高天韵：《罪行摘要》——以真实洞穿谎言
n9753815,林辉：一副对联之争与遇罗克之死
n9756258,柬埔寨女儿的记忆：《他们先杀了我父亲》
n9768373,北京女三中第一个共产党员的悲剧人生
n9773019,古拉格历史博物馆 揭露斯大林红色恐怖
n9782273,高天韵：锡盖特博物馆 唤醒罗马尼亚的记忆
n9788740,高天韵：匈牙利“恐怖屋”的黑暗记录
n9789303,林辉：曾大红大紫的魏巍被批判与软禁的人生
n9807004,梁木：“江办”610是共产党罪恶的脸（下）
n9809482,吐斯廉博物馆告诉世界：柬埔寨发生过什么
n9812644,游兆和：从“十月革命”看共产革命本质
n9814027,十月革命百年 美重磅评论剖析共产主义罪恶
n9818045,程晓容：普京的两番讲话会让中共多尴尬？ 
n9819782,布拉格共产主义受难者纪念碑背后故事
n9822647,中共大跃进造成大饥荒人吃人 台湾播纪录片
n9829932,杨宁：邓小平妻兄服毒自尽 两连襟被迫害死
n9842766,围墙不是永久景观——从柏林墙说起
n9847533,共产主义受难者纪念碑与去共化浪潮
n9859957,【九评13周年】中共给中国带来了什么
n9876016,专访丁抒：中共建政后首场大屠杀——镇反
n9895721,美参议员：揭穿共产主义的谎言
n9896712,金剑：中央集权制绝对不是封建社会
n9907793,近代史十大独裁屠夫 毛泽东斯大林居前二
n9919993,波兰议会通过决议 谴责共产主义
n9921907,高天韵：从政治贱民到低端人口 中共害人无数
n9924965,谁把“小嘎子”变成文革“恶魔”？
n9929355,尹曙生：触目惊心的杀人运动
