n8671842,周晓辉：共产党“五大导师”之马克思（上）
n8671884,周晓辉：共产党“五大导师”之马克思（下）
n8683011,周晓辉：共产党“五大导师”之恩格斯（上）
n8683679,周晓辉：共产党“五大导师”之恩格斯（下）
n8697753,毛泽东周恩来放弃日本巨额战争赔偿内幕
n8702670,林辉：中共建国中之国与红色行长毛泽民
n8705505,周晓辉：巴黎公社与中共的百年约定
n8708536,周晓辉：共产党“五大导师”之列宁（上）
n8743566,周晓辉：共产党“五大导师”之斯大林（中）
n8743542,周晓辉：共产党“五大导师”之斯大林（上）
n8743600,周晓辉：共产党“五大导师”之斯大林（下）
n8758643,周恩来主导“一打三反”运动 杀人或逾十万
n8761768,谢天奇：邓小平六四放狠话 泄中共大屠杀魔咒
n8780394,周晓辉：共产党“五大导师”之毛泽东（一）
n8783966,周晓辉：共产党“五大导师”之毛泽东（二）
n8787054,周晓辉：共产党“五大导师”之毛泽东（三）
n8793965,周晓辉：共产党“五大导师”之毛泽东（四）
n8807341,大饥荒年代 毛泽东生活奢靡大建奢华行宫
n8810304,掸封尘：千万不要“去见马克思”
n8810787,大饥荒年代中共高官享特供 北京流传一民谣
n8822378,大饥荒时中共出口136亿斤粮 够3400万人吃1年
n8823766,周晓辉：从金正男被毒杀看共产党暗杀历史(上)
n8859796,周晓辉：共产党“五大导师”之毛泽东(完整版)
n8873267,毛泽东一句话 马来西亚共产党陷斗争绝境
n8943577,周恩来在贺龙惨死案中鲜为人知的真面目（上）
n8947333,周恩来在贺龙惨死案中鲜为人知的真面目（下）
n8983112,江泽民集团瓜分中国经济内幕（1）
n8999624,江泽民带领儿子率先哄抢“公有制经济”
n9004721,江泽民集团瓜分中国经济内幕（3）
n9005586,林辉：杨开慧指毛是双料流氓
n9004760,江泽民集团瓜分中国经济内幕（4）
n9043989,江泽民集团瓜分中国经济内幕（5）
n9050986,江泽民集团瓜分中国经济内幕（6）
n9107352,“七千人大会” 刘少奇口头报告触怒毛泽东
n9110897,“四清运动”内幕 毛泽东矛头指向刘少奇
n9123961,毛发动“四清运动”预演“文革”（完整版）
n9153861,李宇明：金正恩与毛岸英走的都是不归路
n9222226,江泽民集团瓜分中国经济内幕（14）
n9250216,【秘档】毛泽东加罪潘汉年的内幕
n9254066,【秘档】南泥湾“大生产运动”种植罂粟
n9257943,【秘档】埋下祸根的“农业合作化”运动
n9268434,【秘档】百团大战、皖南事变的真相
n9268584,江泽民集团瓜分中国经济内幕（15）
n9297462,【秘档】湖南农民运动是痞子运动
n9331597,专访仲维光：列宁主动接受德国收买（上）
n9342742,专访仲维光：共产党好话说尽坏事做绝（下）
n9345631,林辉：共产党宣扬无神论 膜拜僵尸始于列宁
n9348449,林辉：共产党宣扬无神论 毛尸膜拜戕害国人
n9394237,【秘档】“胡风集团”冤案
n9432699,【秘档】庐山会议——大灾难的前奏（上）
n9435183,【秘档】庐山会议——大灾难的前奏（下）
n9469974,【秘档】高岗“受宠”和“蒙冤”
n9523442,平原：扮演他的男人和他的女人都结局悲惨
n9556832,【秘档】大饥荒后的七千人大会（下）
n9566049,【秘档】文革预演：刘少奇和四清运动（上）
n9572622,【秘档】文革预演：刘少奇和四清运动（下）
n9580195,【秘档】毛泽东和刘少奇的内斗（上）
n9583923,【秘档】毛泽东和刘少奇的内斗（下）
n9584059,【秘档】文革中软禁刘少奇的背后
n9589653,【秘档】刘少奇之死
n9597133,【秘档】中共为何袒护斯大林
n9605870,【秘档】中共连哄带吓要赫鲁晓夫助造核武
n9611904,【秘档】中苏交恶 吵得一塌糊涂
n9632787,【秘档】毛泽东为何舍罗瑞卿换取林彪支持
n9640905,林辉：预言苏联崩溃的普列汉诺夫遗嘱
n9643504,【秘档】毛泽东和林彪之争斗
n9649029,【秘档】林彪要“篡党夺权”之谜
n9657367,【秘档】林彪被逼外逃（上）
n9667633,【秘档】林彪被逼外逃（下）
n9699497,孟建柱——上海帮政法书记何去何从（上）
n9709857,梁木：江泽民如何涂鸦“中国法治”（上）
n9709870,梁木：江泽民如何涂鸦“中国法治”（下）
n9700032,孟建柱——上海帮政法书记何去何从（下）
n9718866,谁的芳华 谁的对越自卫反击战（上）
n9725038,谁的芳华 谁的对越自卫反击战（下）
n9782865,你不了解的邓小平：反右运动总指挥（上）
n9788075,你不了解的邓小平：反右运动总指挥（下）
n9793368,你不了解的邓小平：与毛一同指挥大跃进（上）
n9802518,你不了解的邓小平：与毛一同指挥大跃进（下）
n9844503,毛泽东诗词的“血旗情结”
n9844557,毛泽东诗词“蔑视祖宗 自认风流”
n9856265,毛泽东诗词中的“真情”与马列婚外情
n9856722,毛泽东诗词“假借祭祖 骗取民心”
n9864134,毛泽东诗词宣扬暴力 为文革武斗输注能量
n9922246,林辉：文革冤案中周恩来的落井下石与冷酷
n9864143,毛泽东诗词中的抄袭现象
n9951023,林辉：周恩来如此对待两位救命恩人
n9894907,毛时代的诗坛乱象
n9894912,毛泽东诗词被党媒“高级黑”
n10006546,坚持共产体制推改革 波共前书记被轰下台
n10120117,林辉：文革“群丑图”从热传到被封杀的背后
n10134744,沉静：切·格瓦拉——魔幻偶像（一）
n10137177,沉静：切·格瓦拉——魔幻偶像（二）
n10157890,沉静：切·格瓦拉——魔幻偶像（四）
n10174332,周晓辉：叶利钦退出苏共引发退党潮
n10214702,中共淫乱的前生今世（1）马列斯毛
n10219359,中共淫乱的前生今世（2）江氏“新时代”
n10223963,“西单民主墙”前后的邓小平
n10283450,改革开放总设计师还是“总扼制师”？(上)
n10285795,改革开放总设计师还是“总扼制师”？(下)
n3077476,【史实】卡尔·马克思的成魔之路
n10359591,【新闻看点】马克思真实面目 你可能不知道
n10359845,马克思之罪－－本不应有的数千万冤魂
n10361325,高天韵：马克思是撒旦的信徒 政治灭绝的鼻祖
n10361532,周晓辉：恩格斯资助马克思并为其顶包背后
n10359730,马克思200年后 专家看中共走投无路捧马脚
n2962346,鲜为人知的马克思之一：专制的马克思
n10364852,【新闻看点】中共真信马克思？外界拆穿西洋镜
n2962557,鲜为人知的马克思之二：自大的马克思
n10367569,许茹：从壁画描绘马恩地狱受刑说起
n10367606,地狱里的革命——共产主义的来源与本质
n2965989,鲜为人知的马克思之三：虚荣的马克思
n2974481,鲜为人知的马克思之四：好斗的马克思
n2974541,鲜为人知的马克思之五：自私的马克思
n2976689,鲜为人知的马克思之六：信神的马克思
n10385642,瑞典前首相：为什么马克思是错的
n2977832,鲜为人知的马克思之七：渎神的马克思
n2978870,鲜为人知的马克思之八：魔性的马克思
n10424192,周晓辉：“马工程”与“马藏”注定被历史淘汰
n10470479,林辉：写信赞成毛退位的陈铭枢之结局
n10486558,【还原史实】国共内战中被欺骗的美国政府
n10894437,袁斌：有感于“红色公主”李讷的人生际遇
n11029000,林辉：救了毛周的人 结局大多很惨
n11054514,李锐：毛的这笔账 迟早要彻底清算
n11357422,香港区议员麦业成：港人绝对不接受中共
n11358327,新唐人大纪元联合推出镇港之歌《自由路》
n11403595,林辉：中共高官披露内幕 毛奢侈嫉妒唯我独尊
n11428903,林辉：周恩来冷酷无情 亲手给荣高棠扣叛徒帽子
n11555284,林辉： 中共70年来党魁的罪恶
n11559430,林辉： 中共70年来的成功与未遂政变
n11798321,天堂梦（3）
n12356888,【欺世大观】汉奸毛泽东：秘密结盟 卖国求生
n12358513,【欺世大观】鲜为人知：五面间谍被毛泽东逼疯
n12401109,【薇羽看世间】一代奸相周恩来（上）
n10435448,魔鬼在统治着我们的世界(10)：家庭篇(上)
n12362005,【欺世大观】毛泽东推崇的外国“英雄”白求恩
n12499563,王友群：习近平在重大问题自相矛盾的根源何在
n12764642,杨威：政治局常委齐动员学党史牵出的“秘密”
n12805064,终身掌权？日媒解读习近平的两只茶杯
n12809869,王友群：第一任中共党魁陈独秀的最后结局
n12824710,王友群：第二任中共党魁瞿秋白的最后结局
n12840390,王友群：中共第三任党魁向忠发的最后结局
n12847981,周晓辉：百炼成钢？李大钊陈独秀一叛国死一醒悟
n12855290,王友群：第四任中共党魁秦邦宪的最后结局
n12854806,周晓辉：百炼成钢？蔡和森董必武一遭遣返一成“抹布”
n12865420,王友群：第五任中共党魁张闻天的最后结局
n12877804,周晓辉：跟了毛的杨开慧贺子珍命运很悲催
n12902918,王友群：第八任中共党魁胡耀邦的最后结局
n12911615,中共国安新规 全民抓特务 被揭真实意图
n12918457,王友群：第七任中共党魁华国锋的最后结局
n12931709,周晓辉：北京忧虑 内部出张国焘王明式高官
n12933748,王友群：第十任中共党魁江泽民面临的最后结局
n12942780,周晓辉：黄炎培上了毛的当中共建政大典奏哀乐
n12947347,王友群：江泽民迫害法轮功 把中共变成最腐败的党
n12991772,王友群：毛泽东的接班人刘少奇之死
n13022180,王友群：江泽民是中共最黑恶势力的“黑老大”
n13044023,中共百年内部分裂 三十多人组建毛派新党被抓
n13056418,七一临近 蔡霞：中共比表面看起来更脆弱
n13061411,习近平“百年党庆”讲话 学者：重复喊口号
n13062903,美商务部长回应习近平中共百年讲话
n13063604,习近平发“头破血流”威胁 蓬佩奥解析
n13066986,美前国务院发言人评习近平七一讲话：百年暴政
n13094299,中共加强控制14亿人思想 躺平主义挑战洗脑
n13128622,王友群：林彪之子林立果论毛泽东
n13161711,王友群：因毛泽东一句话 部长张霖之文革被打死
n13177158,王友群：毛泽东发动大跃进 饿死四千万人
