n4037796,史洪愿：右派、现行反革命──林昭
n4040806,史洪愿：“现行反革命”张志新
n4044049,史洪愿：“现行反革命”遇罗克
n8084246,张东园：中共迫害文化精英实录（一）
n8099263,张东园：中共迫害文化精英实录（二）
n8143459,张东园：中共迫害文化精英实录（三）
n8158666,张东园：中共迫害文化精英实录（四）
n8172698,张东园：中共迫害文化精英实录（五）
n8677173,林辉：从湖南大知识分子叶德辉被杀说起
n8680213,林辉：金陵大学副校长文怀恩被杀的背后
n8681739,高天韵：文革中 他们在南京走向刑场
n8686097,留在大陆的中华民国院士之大结局（一）
n8690231,留在大陆的中华民国院士之大结局（二）
n8690033,金庸父与梁羽生父 中共“镇反”运动中被杀
n8690511,林辉：“刑场上的婚礼”背后的真相
n8694077,留在大陆的中华民国院士之大结局（三）
n8694938,林辉：中共六大文件与红色“山大王”惨死
n8699149,林辉：曾喊出“打倒毛泽东”口号的军队
n8699769,程晓容：无罪的受难者—从遇罗克到聂树斌
n8699834,留在大陆的中华民国院士之大结局（四）
n8699786,王友群：习近平父亲遭残酷迫害16年始末
n8701398,文革中第一批惨死作家个人版权保护期届满
n8704531,高天韵：田汉之死–文化名人的文革厄运
n8711128,辛亥革命名将何海清 年过古稀遭中共杀害
n8711451,被中共杀害的国军抗日将领：41名少将（上）
n8711526,被中共迫害的两届政治局常委及其父辈
n8718710,中共杀害民国上将宋鹤庚与护法军司令夏之时
n8711519,被中共杀害的国军抗日将领：44名中将（下）
n8721196,高天韵：文革“红八月”的冤魂—卞仲耘
n8722864,林辉：被中共迫害的“十大元帅”之结局(上)
n8729080,林辉：被中共迫害的“十大元帅”之结局(中)
n8731884,林辉：被中共迫害的“十大元帅”之结局(下)
n8733609,曾伯炎：右派，惨受株连的妻儿们
n8731741,老舍──自沉太平湖的文革殉难者
n8735154,林辉：被中共迫害的国家正副主席（上）
n8738712,武昌首义元勋邓玉麟 年过古稀遭中共杀害
n8739928,玉清心：北大荒知青飞蛾扑火的最后一场悲剧
n8742187,林辉：被中共迫害的国家正副主席（下）
n8742418,国军抗日名将喻英奇 拒叶剑英劝降遭中共杀害
n8744097,傅雷之死──文化名人的文革厄运
n8751032,林辉：被中共迫害的国民党高官子女及亲属（上）
n8752852,陨落在黑暗中的明珠──上官云珠
n8752583,林辉：被中共迫害的国民党高官子女及亲属（中）
n8753343,多少“逃港”知青魂飘大海
n8752598,林辉：被中共迫害的国民党高官子女及亲属（下）
n8756829,“乒坛三杰”文革自杀之悲剧
n8759264,林辉：被中共迫害的民革中央六大高官（上）
n8758753,北大才子王实味和他滴血的野百合花
n8760215,文革中被枪决的指挥家——陆洪恩
n8762539,三百年一见的国学大师陈寅恪之死
n8765218,被中共迫害的民革中央六大高官（下）
n8765336,被中共迫害死的著名国学大师蒙文通
n8765789,文革悲音——钢琴诗人顾圣婴
n8762351,巴金——中共镁光灯聚焦下的道具
n8766714,随戏而逝的“京剧皇后”言慧珠
n8771985,被中共迫害的国学大师马一浮
n8774269,严凤英——历尽文革劫难的“七仙女”
n8768837,被中共迫害的民盟六大高官（上）
n8778117,悲叹文化灭亡 绝食而死的国学大师熊十力
n8779799,玉清心：韦君宜的《思痛录》为何洛阳纸贵
n8785511,被杀害的“反文革”第一人──刘文辉（上）
n8788998,被杀害的“反文革”第一人—刘文辉（下）
n8785286,被中共迫害的民主促进会四大高官
n8795127,敢叫板蒋介石却被中共害死的国学大师刘文典
n8801714,被中共迫害的民建四大高官（上）
n8786756,鹂音婉转成绝响——评剧名旦的文革厄运
n8804185,被中共迫害的民建四大高官（下）
n8807518,舒绣文——中共一级演员的文革生死劫
n8804548,遭中共暴力屠杀的多名人大校友
n8815942,“大师的大师”叶企孙的陨落
n8817219,中共御用文人郭沫若的两个儿子惨死于文革
n8819841,目盲腿断 国学大师吴宓凄惨晚年
n8819978,曹禺——从“戏剧天才”到“精神残废”
n8828832,鲜为人知的“两弹一星”专家受迫害经历
n8828201,遭性迫害的女知青是个庞大群体
n8832992,农工党“十大右派”与一中央委员的悲惨结局
n8830661,《阿诗玛》与杨丽坤的苦难人生
n8831384,文革中惨遭灭门的海归博士萧光琰
n8839496,一名共产党高官及其家族的命运悲剧
n8831493,梁思成林徽因 才子佳人与中国古建筑
n8855161,国学大师康有为遭中共鞭尸 后代被批斗
