n3991196,史洪愿：农民翻身当家做了主人？
n4015927,史洪愿：揭开“雷锋”的骗局和谎言
n8663018,李林一：中共变异了西方世界的思维和行为
n8797143,周晓辉：马列主义与中华传统文化格格不入
n8809863,共产主义如何颠覆美国—观纪录片《图谋》
n8849172,文革 “破四旧” 摧折华夏文明
n8850163,上七万言书后坐监十年 十世班禅被毒杀
n8855307,西藏文化被摧残 大昭寺作猪圈上师被批斗
n8870896,林辉：藏民大规模反抗中共的背后原因
n8873528,林辉：1949年后天主教神父的炼狱
n8895498,史思：抛弃共产暴政 回归传统文明
n8899939,林辉：中国第一座古刹白马寺的文革劫难
n8947446,激进的现代艺术起源于共产主义
n8951070,魏谷：孔子、历史和中共（一）
n8958233,砸碑毁林 刨坟曝尸 中共如何扫荡孔庙圣地
n8958855,广西文革中骇人听闻的性暴力
n8958269,中共“批孔”和建孔子学院的闹剧
n9018949,共产主义的淫乱基因——性解放
n9066367,期刊：《九评特刊》151期
n9097017,杨宁：1968年的法国“文革”与西方性解放
n9125025,杨宁：贺子珍命运多舛 一家人亦没躲过文革
n9159618,林辉：皇家园林颐和园圆明园之殇
n9214573,抽象艺术是对美国价值观的荒诞颠倒
n9226308,司马泰：昔日“红小鬼”与今日“娃娃兵”
n9194875,共产主义的黑暗源头（上）
n9229643,共产主义的黑暗源头（中）
n9239835,共产主义的黑暗源头（下）
n9278293,梁木：江泽民御用文化人内幕（1）
n9285555,刘晓：末代衍圣公孔德成为何拒回大陆？
n9288095,专访仲维光：共产党将被钉在历史的耻辱柱上
n9292519,林辉：文革“西湖三杰”忠骨无处埋（上）
n9292940,林辉：文革“西湖三杰”忠骨无处埋（下）
n9303834,刘晓：蒋介石祖坟文革被毁 蒋母遗骨被焚
n9324357,林辉：敦煌躲过劫难 守护者常书鸿遭重创
n9326748,加国教授：共产主义改头换面潜入西方社会
n9331132,杨宁：始于延安的中共特供制度延续至今
n9347467,七一中共自称“中流砥柱”被讽崩溃前壮胆
n9362518,朱明：中国的精神鸦片 习近平可曾意识到？
n9425921,林辉：抚养毛之子的“红牧师”厄运缠身
n9503257,【热点透视】中共为何陷入四面楚歌的境地
n9523490,周晓辉：向历史交代绝不是保中共
n9549529,唯物辩证法：共产运动蛊惑人的核心工具
n9587152,林辉：中共加强洗脑 中小学新增课文谎言多
n9613147,林辉：老子传大道 中共歪曲贻害无穷（上）
n9613225,林辉：老子传大道 中共歪曲贻害无穷（下）
n9624913,林辉：郭兰英文革九死一生 歌声充斥谎言
n9646846,杨宁：捐赠国宝的张伯驹文革被罚爬着示众
n9655906,前欧经社主席披露中共渗透欧洲手段
n9661956,《蚕食美国》揭共产阴谋 关乎人类文明存续
n9663727,林辉：文革养“忠字猪”等荒唐的献忠心
n9668992,林辉：歪曲历史的小说《钢铁是怎样炼成的》
n9673687,《裸体共产党人》揭45个颠覆美国的目标
n9694387,林辉：村村有李白 文艺界荒诞的“大跃进”
n9704441,杨宁：《铁道游击队》是毒草 作者演员生死劫
n9710389,进步主义源于共产主义 摧毁人类善恶标准
n9713041,林辉：“封建”本意被歪曲 中国人浑然不觉
n9717340,刘晓：充当斯大林吹鼓手的高尔基
n9716074,【热点透视】共产主义遭围堵 中国向何方
n9721844,从《蚕食美国》看中共如何渗透美国（上）
n9724230,林辉：儒家固人伦 中共批孔包藏祸心
n9731950,林辉：释迦牟尼传佛法 中共摧毁中国人信仰
n9743091,林辉：佛教在共产党国家遭遇红色恐怖
n9763909,推倒与补偿——波兰去共化对中国的启示
n9754307,驱逐“孔子学院”？ 西班牙区议会举行听证
n9799674,刘晓：被中共打造的“革命母亲”杨沫
n9806020,刘晓：几置李锐于死地的“革命母亲”范元甄
n9810260,林辉：诸葛亮遗迹被毁 责任者江青秘书遭劫
n9829292,梁木：大陆检察院的“厚与黑”（下）
n9830362,夏侯：布尔什维克禁用卍字符的恶果
n9839902,共产党破坏传统文化 学者：鼓吹斗争毁伦常
n9896712,金剑：中央集权制绝对不是封建社会
n9898377,折断的蝴蝶翅膀──慈禧御前女官舞蹈家裕容龄
n9901336,俞晓薇：好人受害 坏人逞凶 社会怎能不乱？！
n9907764,共产主义渗透全球 学者：间接输血给中共
n9894382,共产主义宣扬均富 历史证明从未实践
n9940966,高天韵：《共产主义的终极目的》是救世神书
n9950547,中国之殇 中共斩断文化脐带
n9956647,程晓容：中共宗教局长自曝共产党的恐怖目标
n9964704,刘晓：正统婚礼有深意 中共扭曲藏祸心
