n3982302,史洪愿：没有共产党，才有新中国！
n7986316,林辉：还原中共“英雄模范人物”之白求恩
n8057149,张东园：中共建党以来十大谎言
n8286793,林辉：还原中共“感动中国人物”之王进喜
n8354826,十一前夕 网民热议中共曾勾结侵华日军卖国
n8689794,9‧18事变后 中共勾结日军夹击国军之真相
n8718425,林辉：中共长征是逃跑还是北上抗日？
n8759070,林辉：中共何曾备战与粉碎侵华日军计划？
n8780029,大饥荒见证：每天往出抱死人
n8780081,大饥荒轶闻：瘸子疯子变抢手
n8780116,大饥荒见证：饿着肚子唱红歌
n8790234,横河：土改、乡绅和农村的衰落
n8788821,大饥荒死亡人数或超四千万 中共内部数据泄密
n8797603,大饥荒饿死人 毛泽东秘密会议上发表恐怖言论
n8807341,大饥荒年代 毛泽东生活奢靡大建奢华行宫
n8810787,大饥荒年代中共高官享特供 北京流传一民谣
n8818768,苏联逼债致大饥荒？中共两大谎言被戳穿
n8822378,大饥荒时中共出口136亿斤粮 够3400万人吃1年
n8828308,大饥荒周恩来下令毁证 继续征粮出口换黄金
n8833714,《消失的档案》还原香港六七暴动真相（更新版）
n8835483,中共封锁大饥荒消息 剥夺农民求生权
n8836589,林辉：谁是八年抗战的中流砥柱？
n8840623,林辉：“皖南事变”的始作俑者是中共
n8844339,南泥湾种鸦片 张思德之死背后有秘密
n8851944,大饥荒中共禁止开仓放粮 出动军队镇压饥民
n8848013,林辉：中共地道战地雷战的真相
n8860506,袁斌：中共在中华民族救亡史上有过担当吗？
n8863360,大饥荒期间发生大量人吃人事件 悲惨异常
n8864551,林辉：白毛女乃虚构 黄世仁本是大善人
n8868761,林辉：中共吹嘘的平型关大捷与百团大战真相
n8876742,“红飞蛾”的悲剧——上万知青投身缅共打仗
n8900807,刘晓：还原被扭曲的“四大地主”形象
n8929944,大饥荒饿死四千万人 中共做了什么
n8961098,林辉：真实的董存瑞与同名电影主角的遭遇
n8974775,李宇明：大饥荒时期的红色画家
n8986280,林辉：山本五十六座机被击落与中美合作所
n8986368,林辉：造假的江姐受刑与《红岩》作者自杀
n9036016,【书评】长春围城 其实一直都没有结束
n9040551,林辉：“抗美援朝”真相与朝鲜族师团结局
n9060070,林辉：北大中共党员沈崇色诱美军之用意
n9066173,中共关于美国西点军校的三大谎言的背后真相
n9076523,林辉：美军档案中无名的上甘岭战役真相
n9086837,林辉：中共威逼诱骗战俘回国与其之后遭遇
n9107164,“国歌”词曲作者与为毛语录谱曲者苦涩结局
n9111686,每日三退声明精选（2017/05/05）
n9112091,刘晓：两相对比 中共“新社会”才是黑暗的
n9119950,斯大林毛泽东金日成三方共谋 发动朝鲜战争
n9137556,李宇明：“抗美援朝”给中国人带来深重灾难
n9182411,林辉：大寨造假与红旗渠的红色恐怖
n9192525,西安事变真相（1） 张学良实为中共特别党员
n9197635,西安事变真相（2） 张学良私通苏联与中共
n9195856,司马泰：被隐瞒的红军“西征”
n9204620,西安事变真相（3） 张学良派兵进攻蒋住地
n9211081,西安事变真相（4） 毛扣留苏联电报 决意杀蒋
n9219912,西安事变真相（5）中共藉邪恶手段避祸窃国
n9221024,冯义：《苦菜花》里的“汉奸”冯鉴之真相
n9229806,西安事变 中共企图杀蒋介石内幕（完整版）
n9234442,刘晓：尼克松访华期间的中共造假与恐怖
n9281271,梁木：江泽民御用文化人内幕（2）
n9301552,杨宁：让中共害怕的“反共元老”叶青
n9303188,【秘档】中共抗战史是一部谎言史
n9338803,【秘档】“抗美援朝”背后的三国密谋
n9362665,【秘档】红军“四渡赤水”真相
n9362692,【秘档】红军“飞夺泸定桥”纯属虚构
n9368933,“七七事变”80周年 中共宣传掩不住谎言
n9364204,【秘档】乌托邦运动高潮（一）
n9364347,【秘档】乌托邦运动高潮（二）
n9364365,【秘档】乌托邦运动高潮（三）
n9382817,张东园：关于朝鲜战争的五大谎言
n9462963,【秘档】庐山会议后的民族大灾难（上）
n9470658,刘晓：“解放前后”等成禁用词 背后藏真相
n9476881,林辉：“八一”南昌暴动背后与发起者结局
n9473898,【秘档】中共不能公布的女特务沈安娜
n9476326,【秘档】一谍卧底弄乾坤 内战中的共谍
n9485959,【秘档】三大战役到底是怎么胜利的（上）
n9488527,红军走过浴血荣光14年抗战？历史学家揭谎言
n9489421,【秘档】傅作义至死不知的身边“潜伏者”
n9510509,【秘档】西路军惨败 中共嫁祸张国焘
n9521264,杨宁：“红色娘子军”与“南霸天”真相
n9552054,杨宁：从命斯大林 毛泽东搞秋收暴动为夺兵权
n9584165,林辉：唐山和汶川大地震到底死了多少人？
n9587152,林辉：中共加强洗脑 中小学新增课文谎言多
n9595889,杨十郎：共产党的“绑架”伎俩
n9613147,林辉：老子传大道 中共歪曲贻害无穷（上）
n9613225,林辉：老子传大道 中共歪曲贻害无穷（下）
n9624913,林辉：郭兰英文革九死一生 歌声充斥谎言
n9631869,【专访】刘文彩孙子：我爷爷不该引狼入室
n9640905,林辉：预言苏联崩溃的普列汉诺夫遗嘱
n9643182,9·18事变86周年回顾 张学良死前承认是共产党
n9650312,中共篡改《天仙配》“经典”背后多遗恨
n9668992,林辉：歪曲历史的小说《钢铁是怎样炼成的》
n9687582,林辉：教育大跃进 评教授以产量多少为标准
n9693723,唐铭：共产主义渗透美国 正邪大战惊心动魄
n9704441,杨宁：《铁道游击队》是毒草 作者演员生死劫
n9713041,林辉：“封建”本意被歪曲 中国人浑然不觉
n9717340,刘晓：充当斯大林吹鼓手的高尔基
n9736859,周晓辉：共产幽灵漂流中国大地 带来的是噩梦
n9758393,刘晓：中共吹捧的商鞅非良臣 创万世恶法
n9763033,林辉：兵仙韩信辉耀历史 中共歪批其“反动”
n9783517,林辉：刚正不阿包青天  中共歪批其虚伪
n9789303,林辉：曾大红大紫的魏巍被批判与软禁的人生
n9792275,张东园：中共建党谎言与“一大”代表的悲惨命运
n9806282,金剑平：中国古代根本没有奴隶社会
n9817759,袁斌：“十月革命”真相与俄国三大倒退
n9943237,林辉：上了中共当的“一二九”学生运动
n10004515,揭秘“四一二反革命政变”的历史真相（下）
n10004659,共产暴政录：批判武训，拒绝特蕾莎修女
n10045158,《苦菜花》人物原型的真实人生（1）
n10054247,杨宁：不容粉饰 巴金季羡林韦君宜痛批文革
n10045340,《苦菜花》人物原型的真实人生（2）
n10045322,《苦菜花》人物原型的真实人生（3）
n10058256,林辉：老百姓恨日本人也恨八路军的背后
n10045304,《苦菜花》人物原型的真实人生（4）
n10048859,《苦菜花》人物原型的真实人生（5）
n10048915,《苦菜花》人物原型的真实人生（6）
n10088158,林辉：民国长春市长厚颜事共 文革差点被打死
n10093465,林辉：江青法庭辩护词透露的真相
n10157890,沉静：切·格瓦拉——魔幻偶像（四）
n10222351,还原真实的中共：共产党大力拥护民主！？
n10345332,颜丹：中国的新闻自由与大国自信
n10356748,林辉：并未救国的“五四运动”只是胡闹而已
n10420856,林辉：李大钊误导北大学生同时也在卖国
n10525205,林辉：中共“志愿军”唯一回国女战俘的遭遇
n10695964,林辉：五四运动“第一烈士”是历史的赝品
n10709640,中共再次篡改教科书洗白文革 学者担忧
n10747311,裴毅然：中共抗战“游而不击”的史证（一）
n10761251,谭松：对大地主刘文彩庄园的采访
n10806394,赤潮入澳引关注 专家揭《洪湖赤卫队》真相
n10821837,林辉：文革偷听“敌台”让一些中国人觉醒
n10839655,大赛选手：放下自我 用神恩赐的声音歌唱
n10879954,林辉：共产党国家的“作秀公审”
n10899776,林辉：姚依林回忆“一二九运动”证实三件事
n10936495,林辉：抗日名将殉国身后妻儿惨到乞讨
n11011288,林辉：西安军事叛变前夜毛收到张杨密电
n11084381,林辉：中共这些“特别党员”效力后自取其辱
n11123506,林辉：朱德曾被德国驱逐 效力中共晚景凄凉
n11191240,林辉：诬陷美国发动细菌战 毛周被打脸
n11563735,林辉：中共70年来的弥天大谎
n11571385,林辉：中共70年来宣传的英雄人物之真面目
n11581843,柏林墙倒塌30年 再揭东德假英雄谎言
n11772976,林辉：中共当年盘剥延安人 被骂很“黑”
n12116869,【珍言真语】张灿辉：中共教育不准独立思考
n12356888,【欺世大观】汉奸毛泽东：秘密结盟 卖国求生
n12358629,【欺世大观】千古恨！张学良自称罪人中的罪魁
n12358840,【欺世大观】杨虎城走钢丝 “英雄”跌入地狱
n12359157,【欺世大观】平型关和百团战役就是俩红气球
n12358513,【欺世大观】鲜为人知：五面间谍被毛泽东逼疯
n12382958,天堂梦（22）
n12357044,【欺世大观】抗战八大将军 血洒疆场
n12387012,天堂梦（24）
n12424909,天堂梦（31）
n12361868,【欺世大观】刘胡兰不是女英雄
n12361688,【欺世大观】六四屠城 中共首脑躲在哪里？
n12361767,【欺世大观】毛泽东警卫员张思德怎么死的？
n12362005,【欺世大观】毛泽东推崇的外国“英雄”白求恩
n12423794,【欺世大观】《林海雪原》座山雕PK杨子荣（上）
n12361718,【欺世大观】董存瑞炸碉堡另有故事
n12431823,【欺世大观】《林海雪原》杨子荣PK座山雕（下）
n12438418,【欺世大观】王进喜如何被利用“感动”中国的
n12449531,【欺世大观】《英雄儿女》主角原型 悲惨一生
n12465044,【欺世大观】韩战共军战俘 从炮灰到被打成叛徒
n12477281,【欺世大观】黄继光堵枪眼官媒3版本 军方悄否定
n12484915,【欺世大观】邱少云死得很争议
n12498735,【欺世大观】韩战后翻脸 金日成怒砸毛岸英墓碑
n12512160,【欺世大观】中弹身亡 毛岸英死于“蛋炒饭”
n12532173,【欺世大观】传中共备战打台 勿忘长春30万亡灵
n12521463,【欺世大观】中共迫害习仲勋 求情只有俩国军（下）
n12545304,【欺世大观】“奇袭白虎团”翻转 陈尸10万主演打脸
n12552518,【欺世大观】为中共立功的特务 个个难逃厄运
n12764642,杨威：政治局常委齐动员学党史牵出的“秘密”
n12859637,周晓辉：中共生日靠情杀案推定 发展靠金主苏共
n12864511,周晓辉：劳工万岁是假 林祥谦施洋之死另有因
n12867724,周晓辉：孙中山容共非联共 国民党清党重击中共
n12872653,周晓辉：南昌暴动中共不敢言说的史实
n12875008,周晓辉：秋收暴动搞笑 井冈山山大王帮毛后惨死
n12893665,周晓辉：长征是逃亡而非抗日 飞夺泸定桥属虚构
n12895950,中共百年新谎言 习近平为何篡改党史
n12898534,周晓辉：项英陈毅卖命结局惨 皖南事变罪魁是中共
n12903066,周晓辉：张学良承认是党员 中共推动西安军事政变
n12909231,周晓辉：蒋介石首提持久战 百团大战遭毛痛批
n12911615,中共国安新规 全民抓特务 被揭真实意图
n12914429,周晓辉：东方红曲调来自情歌 延安进行文革预演
n12919443,亦然：改了又改的党史和无法改变的事实
n12925426,学者：中共百年之际 内外高压政权岌岌可危
n12929004,周晓辉：中共挑起内战 刘邓挺进大别山失败被粉饰
n12932715,新西兰学员庆法轮大法日 政要称颂支持
n12934921,周晓辉：三大战役拿平民当炮灰 围长春饿死几十万
n12939343,中共阻台入WHA 立委：欧美应有相应策略
n12954161,周晓辉：非保家卫国无细菌战 揭朝鲜战争十大真相
n12971285,周晓辉：洗脑片避谈两大惨祸 毛检讨为哪般？
n12985497,周晓辉：王进喜雷锋焦裕禄事迹造假 时传祥结局惨
n12991422,周晓辉：尼克松访华留遗害 中共入联合国有内幕
n12993376,李远：视觉欺骗和虚假盛世
n12765178,田云：中共党史与华春莹的反问句
n12966400,中共党史披露当年如何麻痹美国人
n13011888,【中共党史】建党的罪恶本质：苏联豢养
n13020585,张菁：长征是溃败逃亡还是北上抗日？
n13021697,岳山：中共一大旧址升级 四桩不堪事挥之不去
n13024090,周晓辉：“社会主义市场经济”是欺世之谈
n13031965,林辉：行刑时绞刑台上热搜 李大钊叛国罪难掩
n13033900,田云：党史展览馆劳民伤财 曝中共谎言和危机
n13035206,林辉：中共三名高官叛逃带来的重创
n13048820,美中国通：中共在焦虑中等待百年 时刻忧垮台
n13052220,“清算中共百年反人类罪”纽约法拉盛图片展
n13056056,中共百年刻意忽略黑暗历史 专家：怕被解体
n13056354,中共发布“新型政党制度” 学者分析
n13060811,解决台湾问题？专家：中共才是分裂中国元凶
n13061411,习近平“百年党庆”讲话 学者：重复喊口号
n13063604,习近平发“头破血流”威胁 蓬佩奥解析
n13066986,美前国务院发言人评习近平七一讲话：百年暴政
n13067084,专家：中共党庆异象 凸显政权陷末日危机
