n4528553,中共卖国之一：大面积出卖领土给苏俄
n4528578,中共卖国之二：中共对日本的卖国行径
n4529318,中共卖国之三：主动放弃国土予印度
n4529321,中共卖国之四：秘送夜莺岛与老山之痛
n7435119,中共卖国之五：割让长白山天池给朝鲜
n8697723,中共官方记载 毛泽东至少六次感谢日本侵华
n8697753,毛泽东周恩来放弃日本巨额战争赔偿内幕
n8809061,周晓辉：中共七十年前曾承诺建立美国式民主
n8811129,林辉：中共如同变色龙 十八次修改党章
n8819770,中国人应知的重要事—中共七宗罪(上)
n8823799,中国人应知的重要事—中共七宗罪(下)
n8840492,林辉：中共不抗日反而通敌卖国
n9036062,林辉：中共与苏俄三个时期签订的卖国条约
n9058631,毛泽东卖国秘闻 为投靠苏联曾想定都哈尔滨
n9074056,大陆专家揭朝鲜对中国领土有野心
n9252458,中印边界战争内幕 中国胜而不利（上）
n9272480,张东园：受境外势力资助卖国 中共是鼻祖
n9268584,江泽民集团瓜分中国经济内幕（15）
n9331484,【秘档】一分抗日、二分应付、七分发展
n9996650,揭秘“四一二反革命政变”的历史真相（上）
n10138788,中共进入联合国与尼克松访华内幕（上）
n10997801,林辉：国军重庆号巡洋舰官兵投共后的苦难
n11153345,中共陆军纪念“先烈”引汪精卫诗句遭嘲讽
n11225005,林辉：中共高规格接待蒙古独裁者背后的丑行
n11552181,林辉：中共70年来卖国黑历史
n12242171,美高院：川普政府有权更改奥式健保的节育条款
n12358629,【欺世大观】千古恨！张学良自称罪人中的罪魁
n12358840,【欺世大观】杨虎城走钢丝 “英雄”跌入地狱
n12359157,【欺世大观】平型关和百团战役就是俩红气球
n12401109,【薇羽看世间】一代奸相周恩来（上）
n12357044,【欺世大观】抗战八大将军 血洒疆场
n12408309,天堂梦（28）
n12408465,天堂梦（29）
n12764642,杨威：政治局常委齐动员学党史牵出的“秘密”
n12836495,王友群：六问中共最高外交官杨洁篪
n12921960,周晓辉：中共开七大时暗中勾结日军 后感谢侵华
n13018109,【中共党史】中共协助苏联瓦解中国的角色
n13030262,【中共党史】中共配合苏联肢解中国（上）
n13035660,【中共党史】中共配合苏联肢解中国（下）
n13040700,【中共党史】配合苏联肢解中国 分裂新疆
