n11136687,曾遭打毒针 成都法轮功学员何友华被迫害离世
n11138977,落马的武汉黄陂政法委书记李胜桥面临公诉
n11139252,哈尔滨依兰县法院及检察院张安克等人落马
n11141724,中共警察绑架法轮功学员 恶行累累
n11146229,遭冤判两年 八旬教授夫妇身陷囹圄
n11146503,女儿报名参加新唐人声乐大赛 父亲遭枉判
n11149276,山东烟台75岁老人被秘密冤判入狱
n11151453,近三年 哈尔滨双城区法轮功学员遭迫害综述
n11152763,遭恶运的中共检察院人员 （1）
n11153338,湖南怀化76岁老人被国保上门骚扰
n11155656,被秘密冤判 山东菏泽三位老太陷囹圄
n11157659,湖北文理学院学生讲法轮功真相 遭绑架
n11158161,辽宁建昌县六名法轮功学员遭绑架
n11158292,汉中中级法院院长杨明德死亡 曾上恶人榜
n11161232,德才兼备  却被全城通缉的女子
n11160128,遭绑架构陷迫害 昆明法轮功学员夏梅仙离世
n11162842,聚焦中共活摘器官 英主流媒体争相报导
n11165640,遭6根15万伏电棍电击 长春商人面临非法庭审
n11155819,遭恶运的中共检察院人员（2）
n11167406,原广州大学副教授王家芳被劫持入狱
n11103224,中共血腥罪恶的见证——水刑
n11171628,从澳洲回国过年 法轮功学员遭中共非法关押
n11169087,北京三法轮功学员遭冤判 其中一人下落不明
n11171813,看守所里庭审 山东沂南县法院制造冤案
n11173368,乌克兰著名艺术家赞真善忍美展 震撼心灵
n11171939,“天之骄子”中国社会一代精英的境遇（1）
n11179330,历经迫害近20载 河北法轮功学员施中会离世
n11173838,“天之骄子”中国社会一代精英的境遇（2）
n11181516,河北警察深夜撬门 法轮功学员被逼坠楼身亡
n11179673,湖北省浠水法轮功学员王正安含冤离世
n11181907,冤狱中被奴役 上海高级工程师身心严重受损
n11185699,身份证被做手脚 优秀财务人员遭枉判7年
n11188360,太原市九名老人被戴手铐脚镣 遭非法庭审
n11188448,2019年1至3月 长春法轮功学员遭迫害综述
n11186297,透过“躲猫猫事件”看云南看守所的罪恶
n11190900,成都市温江警察劫持多名七八旬老人
n11190477,2019年3月 至少43名法轮功学员遭冤判
n11175588,“天之骄子”中国社会一代精英的境遇（3）
n11193394,河北定洲“黑老大”马云飞获刑20年　
n11193056,河北警察绑架多名法轮功学员 一人下落不明
n11192501,2019年3月 245名法轮功学员遭绑架
n11195733,出资28万为家乡修路 法轮功学员遭诬判4年
n11199162,长春法轮功学员李晶 遭非法判刑10年
n11193626,迫害无辜人 河南派出所所长樊红彬车祸亡
n11196596,云南劳教所的罪恶 抹不掉的“烙印”（上）
n11202606,被迫害致瘫11年 法轮功学员郑炫淑离世
n11202857,吉林公安实施“计分考核制”大肆抓捕民众
n11202760,辽阳市中级法院 非法庭审六名法轮功学员
n11207977,夫妇遭绑架 89岁老母和残疾女儿孤苦无依
n11210167,贴“真善忍”对联入冤狱 江汉泉被迫害离世
n11210515,年仅41岁的《合肥晚报》总编杨杰病亡
n11213432,孝女谭广梅被关押5月余 近八旬父母悲苦
n11216048,江西萍乡 14位法轮功学员读书遭非法抓捕
n11215675,遭冤判九年 法轮功学员胡延顺被迫害离世
n11212738,送人真相册 昆明法轮功学员被警察殴打骨折
n11220063,江苏连云港11名法轮功学员遭冤判
n11219504,公检法违法办案 残疾人乔向阳遭冤判八年
n11221950,丈夫遭冤判9年 法轮功学员邵紫英被迫害离世
n11222609,河北阜城敬老院 软禁79岁老人近一年
n11222275,2018年 贵州省法轮功学员遭迫害综述
n11220125,八旬法轮功学员遭构陷 检察院决定不起诉
n11198969,云南劳教所的罪恶 抹不掉的“烙印”（下）
n11223766,遭残害失去双脚 20年迫害 王新春含冤离世
n11224324,79岁老人遭绑架 警察逼其子女与其断绝关系
n11226889,遭酷刑  济钢集团87岁工程师王洪章离世
n11213689,浪子回头金不换 却遭十年牢狱灾
n11229367,遭长期迫害 北京法轮功学员徐俊明离世
n11229632,上恶人榜的“610”主任何春霞被审查
n11186032,非法关押2年 北京桑霁迎被迫害得脱相住院
n11231372,法轮功学员侯丽凤被迫害离世 法院仍勒索钱财
n11232631,大赦国际呼吁紧急行动：释放北京教师陈彦
n11229055,多次遭迫害命危 法轮功学员邵明罡含冤离世
n11189087,叫嚣不信神不怕报应 中共警察的遭遇
n11235272,遭冤狱12载 法轮功学员贺立中矢志不渝
n11238100,公安撬门锁入室 广州残疾女遭绑架失踪
n11240137,甘肃一级警官陈仲轩遭冤狱近5年 现况不明
n11242387,北京法轮功学员王淑荣在迫害中离世
n11242653,韩国大邱庆典游行 法轮功队伍获赞叹
n11245359,遭药物迫害 辽宁法轮功学员李淑云含冤离世
n11245658,安徽省社科院法轮功学员王光辉被迫害离世
n11248850,广州残障人炼法轮功被抓 加国妹妹要求放人
n11258054,华北油田女教师李爱华 九年冤狱迫害离世
n11266497,同化“真、善、忍” 长春大法弟子颂师恩
n11268877,4‧25期间 中共绑架骚扰逾千法轮功学员
n11269241,13年冤狱迫害 法轮功学员张洪伟凄惨离世
n11271135,甘肃监狱管理局前副局长姜润基被审查
n11271614,高天韵：美电视巨头揭中共迫害法轮功引轰动
n11272064,秘拍中共监狱酷刑受害者视频 海外曝光
n11272848,吉林临江市法轮功学员徐东成被迫害离世
n11258922,穿越生死的团聚
n11273095,2019年4月 至少38名法轮功学员遭冤判
n11274634,乡音：迫害一个好人 毁掉一个家庭
