n1411013,法轮功学员北京被捕太太赴美求救
n1700430,旅澳华人戴志珍母女墨尔本获人道主义奖
n1708532,北美部分州长、市长褒奖法轮功
n1708558,组图:台五千法轮功学员排字 为创始人祝寿
n1709580,洛杉矶欢庆世界法轮大法日 市长祝贺
n1710202,达拉斯庆法轮大法日 德州多市褒奖
n1734580,公众施压 以色列医疗基金已停止支付到中国器官移植费用
n1742375,大纪元华府社长面请布什帮助停止镇压法轮功 布什倾听说:YES
n1751612,舞蹈大赛令中共恐惧 新华网连续刊文诬蔑
n1802339,控诉江泽民第一人
n1803172,剑桥举办真善忍美展 议员市长祝贺
n1818479,比中国人还爱中国人的人权律师
n1822587,中外请愿（下）
n1826228,新西兰首都六英文报再传法轮功
n1846275,“中国人会学波兰的”
n1856661,华府明慧学校荣获社区服务奖
n1869104,【专访】一个为法轮功而战的犹太人
n1880128,英国伦敦摄政公园的炼功点
n1884439,丹麦主流媒体：曝光中国的黑暗
n1885085,英国公布全球百大天才 法轮功创始人李洪志先生居华人榜首
n1889932,记录片《超越红墙》西方电视媒体首揭
n1905864,诉江案原告章翠英获封荣誉人权大使
n1908138,《超越红墙》播放在即 CBC记者大陆受扰
n1914563,诉江案原告章翠英画展旋风持续席卷阿根廷
n1917967,江泽民“蒙面”应诉  加法院不准实质介入
n1922227,美密州媒体报导人权圣火 诘问中国人权
n1936176,坏学生修炼后变乖 印度校长盛赞法轮功
n1936505,国际人权日 吕秀莲声援法轮功受迫害调查团
n1945689,成禹：《超越红墙》给中国人的启示
n1946251,《沙尘暴》导演在退党集会上的讲演
n1970154,图片报导（四）：“看见法轮功了吗？”
n1987176,香港高院上诉庭：遣返案原判决欠证据
n1986905,女飞行员泰瑞得奇书 追寻超越之境
n1988963,澳国家电台关注法轮功在韩获难民资格
n1997702,马国最大中文杂志《风采》专题报导法轮功
n1999296,图片报导：法轮功书籍广传世界
n2021956,组图二：法轮功学员洛杉矶大游行
n2022911,美西法轮大法修炼心得交流会洛杉矶召开
n2024233,加拿大民众关注法轮功学员泰国受虐
n2029140,法轮功人权向联合国递交失踪案例报告
n2038262,法轮功信众谴责中共利用奥运加紧迫害
n2043076,乔高、迈塔斯应邀在剑桥大学谈中国人权
n2043736,追查国际：追查中国大陆借奥运大批非法抓捕法轮功学员的紧急通告
n2046158,法轮功人权提交中共药物迫害报告
n2055659,新西兰报纸整版刊登 澄清法轮功真相
n2056554,法轮大法  春风化雨在南监
n2075337,追查国际一周动态 (2008年03月30日至04月05日)
n2079438,美国会议员:布什勿与当代希特勒同坐
n2079531,美议员﹕奥运使世界聚焦中共残暴本性
n2080007,美众议员麦考特﹕支持人权圣火真正的奥运精神
n2080010,美议员沃特斯﹕加入人权圣火传递 为中国的不公呼吁
n2082238,英媒披露中共秘密警察参与迫害法轮功
n2082694,【热点互动】人权圣火 传递世界希望(3)
n2086229,追查国际在美国会揭露: 中共利用奥运加剧迫害法轮功
n2096451,图片报导：被誉为“教授真理的学校”
n2099776,莲花艺术团土耳其庆典获好评
n2114830,法国《震惊》杂志采访法轮功学员
n2116989,多伦多庆法轮大法日 政要民众同贺
n2119494,郁金香节主办者向天国乐团公开道歉
n2119749,魁省法庭裁决《华侨时报》诽谤法轮功
n2121216,加公民亲属中国被抓  国会议员呼吁救助
n2138468,华报编辑：围攻法轮功大部分人格分裂
n2138650,瑞典电视8台连续播放纪录片《超越红墙》
n2139488,菲裔独立日游行 唯一华裔团体受欢迎
n2141966,欧委会副主席：应看清中共想挑衅什么
n2146838,法拉盛暴力围攻事件震动国际 澳警方关注
n2152512,罗马法庭判决中文报纸诽谤罪成立
n2153991,波兰议员要求外交部调查华沙骚扰事件
n2154245,波兰通讯社: 攻击法轮功学员定受裁决
n2156084,“万家劳教所”幸存者在联合国作证
n2156863,纽西兰退党服务中心 严正声明
n2167074,澳参院通过动议案 要求中共停止迫害法轮功
n2168511,一位为营救许那而奔波的比利时朋友
n2170134,海外拆迁户诗歌：献给最可爱的人——法轮功学员
n2170211,外媒评法拉盛事件：聚焦法轮功
n2171617,日媒：奥运前中共加紧打压法轮功
n2171848,法轮功论坛在澳洲国会大厦内举办
n2172352,欧议会副主席关注受酷刑的法轮功学员
n2172875,美国之音报导纽约袭击法轮功事件
n2174468,北欧法轮功集会：声援退党 抗议迫害
n2174485,图组：北欧声援3900万勇士退党大游行
n2181715,八国首脑会议前　法轮功成札幌焦点
n2182083,联合国人权年度报告再抨击中共迫害法轮功
n2184354,应邀参加美国独立日游行 法轮功受主流社会欢迎
n2190196,德十三城联手征集百万签名 吁奥运前停止迫害法轮功
n2191820,真善忍画展感动滑铁卢大学师生
n2193879,欧理会副主席：不能接受迫害法轮功
n2195892,新唐人直播预告：法轮功反迫害为了什么？
n2197263,纽两党议员:法轮功受迫害无法接受
n2198236,专访赖清德：与国际社会一起挺法轮功
n2198265,奥运前夕 115万人要求停止迫害法轮功
n2198274,马英九寓所旁的 法轮功炼功点
n2199607,爱尔兰留学生：中共奥运加重迫害 呼吁国际社会解救双亲
n2200821,天国乐团花莲首演 响应百万人征签活动
n2202113,比利时退党服务中心成立 举办退党月系列活动
n2202176,联合国人权年度报告连续抨击中共迫害法轮功
n2205870,CIPFG向国际奥委会递交“全球反迫害百万签名”
n2208118,“国际特赦”：中共令奥运蒙羞
n2209491,瑞士伯尔尼亚州节法轮功展风采
n2209969,追查国际：再次追查中共借奥运大批非法抓捕法轮功学员的紧急通告
n2214438,海外旅游点大陆客三退故事多（一）
n2214455,“真善忍美展”蕴涵强烈信息 打动丹麦人
n2215288,中共奥运前加剧迫害 “法轮功人权”紧急呈递各国外交部
n2216048,“法轮功人权”紧急呈递各国外交部
n2221615,北京奥运 澳主流媒体聚焦法轮功
n2221858,麦塔斯澳墨尔本演讲  吸引法律界人士
n2223115,人权组织:京奥期间法轮功恐遭中共构陷
n2224469,瑞典多团体中使馆前抗议  国会议员到场支持
n2224978,比利时新闻发布会　谴责中共迫害法轮功
n2226292,CIPFG向台湾立法院递交反迫害民意
n2227550,荷兰喜剧“漂亮的幌子”关注中国人权
n2228745,法国《北部海滨报》报导法轮功受中共迫害
n2228754,法国大报《北方之声》关注法轮功受迫害
n2230160,世界器官移植会 医生关注中共活摘器官
n2230807,美国会议员致信中国大使馆要求尽快释放庞小谦、曹俊萍夫妇
n2231727,加拿大律师：对迫害视而不见的惨痛代价
n2231860,奥运期间 意大利主流媒体关注法轮功
n2234682,法国议员、前部长：我们站在你们一边
n2236151,澳广：法轮功学员的器官是目标
n2236688,全球百万反迫害签名递交瑞士外交部
n2239338,比利时首相拟向中国政府谈及法轮功
n2242833,外电：奥运另一块金牌当归法轮功
n2243057,美媒：俄亥俄州立大学学生亲历中共迫害
n2245995,纽约《每日宪报》报导女儿营救母亲
n2249371,法轮功人权：关注法轮功学员被虐杀
n2251116,母亲因信仰被劳教  西澳公民呼吁营救
n2248403,John Kusumi：CNN对中共屠杀罪置若罔闻
n2254525,CIPFG日本广岛支部提交百万签名陈情
n2258015,约翰‧库索米：抵制北京奥运第一人
n2263247,中秋月明 大陆法轮功学员敬谢师恩(1)
n2263257,中秋月明 大陆法轮功学员敬谢师恩(2)
n2263860,辽宁律师致信中国最高司法机关
n2259244,“法轮功人权”向联合国申诉
n2276380,美议员助营救被非法关押的法轮功学员
n2277249,美加州议员致信胡锦涛要求释放法轮功学员
n2282490,印度八十所学校师生修炼法轮功
n2283236,印尼法轮功学员献莲花 总统双手接应
n2288057,法轮功经文列入印度一学校教材
n2288418,真相调查团向丹麦首相递交百万签名
n2294930,当东印度檀香王国遇见天国乐团
n2295190,俄亥俄州法轮功学员世界之光健康博览会上展风采
n2298248,亚太天国乐团首到印度迈索尔成焦点
n2299491,天国乐团轰动印度 “法轮大法好”呼声令闻者动容
n2301957,为法轮功家属续文　向良知尚存者发声
n2305183,法轮功吁麻生帮助制止中共迫害
n2305214,高雄虱目鱼节法轮功展风采 杨县长颁奖
n2306922,向德国总统府递交“全球反迫害的百万征签表”
n2307041,三位警察与法轮功的故事
n2308455,如果是你，你也会说：“法轮大法好！”
n2312544,两位70岁老太买菜被抓   女儿日本呼吁
n2314498,贺祥姑遭注射药针 郭国汀谴中共暴行
n2315892,海外旅游点大陆客三退故事多（五）
n2316248,美国著名摇滚乐队 “中国民主”新专辑  为法轮功发声
n2317605,“因为他是炼法轮功的”
n2317606,韩国老人一年劝退九千人
n2317608,特务也三退了
n2318370,真善忍美展：中共将因法轮功而解体
n2318451,陈云林登101 场外“法轮大法好”响彻云霄
n2319975,“我就是要提拔炼法轮功的”
n2320555,真善忍美展：迫害只因对信仰的坚持
n2321024,法轮功学员列席联合国大会 人权专员关注迫害
n2321306,大陆法轮功学员：“我是炼法轮功的”
n2321310,有女不嫁“六一零”
n2322394,全体储蓄所的工作人员都惊叹了
n2322437,北京市女子监狱的怪事
n2322930,澳洲法轮功学员呼吁将周永康驱逐出境
n2323817,联合国反酷刑委员会审核中共酷刑问题
n2325848,海外旅游点大陆客三退故事多（六）
n2326656,美国俄亥俄州法轮功学员国际节上展风采
n2329327,美助理国务卿回复议员 反对迫害法轮功
n2329386,真善忍美展：“迫害”让我的心好痛
n2329777,王三英案 李和平律师为法轮功抗辩
n2332062,亲历迫害的清华学子美国大学校园讲真相
n2333768,四百余乡民联名上书    呼吁释放好人
n2335425,欧洲25国法轮功学员柏林游行  制止迫害
n2336148,组图：欧亚25国法轮功柏林举办盛大游行
n2336167,法轮功学员和律师声明无罪 法官草草收场
n2335821,联合国对中共的酷刑审查引国际广泛关注
n2336882,两岸三地人权指标—法轮功问题(1)
n2337364,两岸三地人权指标—法轮功问题(2)
n2338639,联合国七年来首度审查中共酷刑 北京恼怒
n2340443,大陆民众在找、在盼、在等真相
n2341379,为女画家辩护 律师：应告打压的官员
n2344279,党委书记带头三退
n2344225,网络名歌手出新作《坦荡》
n2345737,书店经理：愿天梯书店开遍世界每一个角落
n2345794,【热点互动】《九评》四周年看中国变局
n2346807,法轮功学员包的饺子改变了看守所管教
n2348441,牡丹江开庭绑架数十人  亲友找610要人
n2349793,你一定替我谢谢李老师
n2351001,比利时中国人权状况研讨会 法轮功议题受关注
n2353280,马来西亚首相接受介绍法轮功的赠书
n2353567,中共庭审法轮功意想不到的结果
n2353583,新变化  欧盟越发坚定的维护中国人权
n2354769,多方营救成功 卜东伟携女儿顺利抵美
n2356184,警察明真相后把大法弟子送回家
n2356192,再也不干那戕丧良心的工作了
n2356640,18国政要致信联合国制止中共迫害法轮功
