n1250658,中国人的器官随要随得？
n1251925,中共官营黑店–无本万利的人体买卖
n1252638,沈阳知名医院有计划盗取骨髓曝光
n1253561,揭开大陆医院非法脏器移植的一角
n1254062,沈阳医大：境外华侨 10万可换肾
n1256610,中国移植器官来源成谜 更有人渣吃人体内脏
n1257301,西班牙媒体报导中共集中营正在发生着可怕的人体器官买卖
n1258154,适鸣：非法器官交易  中国大地在哭泣
n1258712,中国成移植和贩卖器官世界中心
n1259386,投书：大陆很早就利用人体器官进行实验及商业开发
n1259894,大陆医院﹕移植器官来自健康活体
n1262175,录像：广东卫视证实大陆医院违规换肾
n1264299,外国人到中国器官移植后死亡 多方质疑
n1265856,专访贝勒医学院教授：器官移植面面观
n1267981,徐水良：国内朋友谈中国大陆器官贩卖
n1268239,雅加达肾脏移殖说明会 不谈器官来源
n1268396,欲盖弥彰 中共出台器官移植管理规定
n1268398,中共忙推出器官法规 欲盖弥彰
n1269281,多伦多太阳报﹕出售 肝脏一个25000元
n1273352,停止推荐病人到中国做脏器移植
n1273024,追查国际：沈阳存在庞大活人器官库
n1276278,天津第一中心医院三月末大批器官移植
n1277729,马来西亚《中国报》专载美国调查中共活体摘器官
n1278041,追踪沈阳多器官移植中心的神秘器官来源
n1278214,外媒体 ：法轮功要求调查活体摘取器官
n1278225,关于一中心医院器官移植中心的一些情况
n1279174,加器官移植专家：这是对生命的亵渎
n1279442,二千五就可以买到肾
n1281727,王思明： 器官移植者的存活期
n1283215,林保华：请温家宝收购中国穷人的肾脏
n1283218,巴厘游行怵目 真人模拟非法器官移植
n1284608,肾源庞大 港集团式安排到粤换肾
n1285354,水星报﹕外国人到中国寻求死刑犯器官
n1285842,大批日本人去中国做器官移植
n1285925,中国再度否认摘取法轮功学员器官
n1287124,吉林市各大医院器官移植进入紧急状态
n1287255,港妇大陆换肾险变植物人
n1288040,郑州第七人民医院一天做过九例换肾手术
n1290629,法轮功挑头调查真相 医院移植器官忙
n1295588,调查海外器官移植 日本成立“国际伦理问题对应委员会”
n1296148,新文化报：吉大二院一天找到合适心脏
n1296652,器官移植成功后的苦难
n1297883,从大陆“器官移植”专利激增 看活体摘取器官
n1299020,时代：国际社会关切中国人体器官买卖
n1299932,器官移植中介：中国器官提供不会减
n1303042,比利时媒体报导中共盗卖人体器官
n1303279,湖南医院免费移植肝肾 法轮功冤情深
n1303322,欧委会动议案要求听证器官摘除事件
n1308469,【热点互动】西山会议看医疗改革
n1309947,生活新闻﹕证实中国器官移植来源
n1310386,调查线索:山东、广东、河北移植肝肾来源不明
n1310756,生活新闻﹕军医证实六万活摘器官案例
n1312251,莱西二级医院设肾移植 7/1前赶手术
n1313218,接上级指示 全军器官移植会紧急推迟
n1314366,全军器官移植会推迟 会务组证实原因
n1314970,晓辉：从医学论文看大陆器官移植
n1316914,总后政委孙大发视察器官移植所内幕
n1319606,山东盗取法轮功学员器官罪行严重
n1322039,大陆器官市场 公检法医一条龙作业
n1323217,48小时两次换肾身亡 肾来源引关注
n1323754,中国器官移植来源引起澳洲社会关注
n1325184,追查手术杀人，落实到个人
n1329371,假药引发肝肾移植 医生称做移植上瘾
n1330667,给军队医院打电话实录
n1331904,中共喉舌央视自曝器官移植疑点
n1331898,河南新乡盗器官谎称尸检 市长受株连
n1332878,在中国接受器官移植有感染与并发症之虞
n1333932,一天17台移植 长沙有器官调配中心？
n1344617,调查得知 锦州205医院将行32器官移植术
n1353379,今日美国﹕中共可移动的死刑车
n1356268,丹麦《政治报》：中国在贩卖囚犯器官
n1359397,免费换脸——中共喉舌又暴活体移植疑点
n1360042,美国患者前往中国寻求器官移植
n1360290,中共器官移植新规定 恐跳票
n1374179,读者来信﹕大纪元应当非常自豪
n1377310,加新民主党望总理对活摘器官采行动
n1377973,中国贩卖法轮功信徒器官
n1378146,大陆4万移植手术器官来源揭秘
n1378479,BBC：加律师称中国买卖法轮功学员器官
n1379207,法新社：调查指中共大规模摘取法轮功学员器官
n1379227,加国家邮报：政府计划调查活摘器官指控
n1379767,港前哨杂志刘达文支持独立小组调查报告
n1382190,加拿大环球邮报：可疑的41500例移植
n1387171,中共出台尸体管理新规定
n1387765,明明：谁盗卖了他们的器官？
n1389390,人权律师呼吁中国结束强行摘取器官
n1391479,【世事关心】“地球上未曾见过的邪恶”
n1392601,【热点互动】加国报告揭中共活摘人体器官暴行（二）
n1394193,加独立调查员华府揭中共活摘器官暴行
n1396831,首届世界器官移植大会波士顿开幕
n1397702,投书：狐狸尾巴露出来了，中国器官捐赠才21例，共捐献器官88个
n1400453,组图﹕法轮功在波士顿抗议活摘器官
n1400660,人体器官移植–生命之救星还是劫难？
n1401097,医学专家:美国人海外器官移植风险大
n1401358,澳政府关注中共活摘器官
n1401861,中西医生看器官移植 突显道德分歧
n1402758,世界器官移植协会关注活摘器官指控
n1402976,全球器官移植市场大买卖
n1404555,比利时电视台：中共被指控贩卖器官
n1407112,时事经纬 第36集－横河：学术研讨、伦理医德和屠杀暴行
n1409815,《澳洲人》报：“器官移植外交”
n1415652,一位学者就活摘法轮功学员器官的声明
n1416763,【热点互动】器官移植与医学伦理
n1418961,无法否认活摘器官事实　中使馆公开承认了什么？
n1419294,上海近期严厉打压法轮功  百余人被抓捕
n1419317,复旦大学附属医院6个月摘换6颗心脏
n1433156,乔高:新发现 天津医院85%器官卖往海外
n1448011,欧加政要墨尔本揭中共活摘器官问答
n1447200,瑞典政要及媒体关注中共活摘器官
n1461955,中共摘取死刑犯器官不符国际规范
n1463399,现代中国的酷刑滥用于法轮功修炼者群体
n1462902,“秋决”成中国器官移植医院牟利高峰期
n1467604,透视“国际移植网络支援中心”网站
n1472593,瑞典国家电视台报导中国人体器官出售
n1472701,台湾病人到中国进行器官移植受人权人士关切
n1475307,【热点互动】全球关注中共贩卖器官
n1488000,专家力谏：政府广宣赴中器官移植具风险
n1495281,上海移植界黑幕 拿正常人作实验致死
n1507252,中国医疗品质差 20名马国病人前往求医死亡
n1507307,日本电视报导在中国脏器移植的危险性
n1508314,日富士电视：在中国脏器移植的危险性
n1519211,中国器官移植问题多　中市卫生局医界关注
n1526276,英媒: 北京承认“器官移植旅游业”存在
n1527102,洛杉矶时报：中共承认摘取死刑犯器官
n1527735,人权组织促中共公布摘取器官详情
n1531361,中共认摘取器官 被指耍手段
n1531939,大陆医院仍招募海外器官移植患者
