n3526027,林子旭：王立军交美材料探秘
n3526091,周晓辉：奥斯威辛草案与王立军提供的证据
n3526121,碎叶城外：王立军和薄熙来事件中真正的关键
n3536600,刘晓：卫生部高官的坦承与王立军交美材料的关联
n3536658,赵百川：县级干部：活摘器官，确有其事！
n3539646,唐风：对暴行的态度是道德和良知的试金石
n3549433,杨宁：器官移植会‧百度解禁敏感词‧中共内斗
n3549354,【特稿】真相就是指路灯 历史巨变在眼前
n3550029,杨宁：取消非法使用死囚器官为何不是五分钟？
n3550686,杨宁：大陆死刑犯撑得起器官移植市场吗？
n3550839,曾铮：王立军到底有无将活摘证据交予美国？
n3551701,梅酉：美国应无条件公开中共活摘法轮功学员器官罪证
n3555093,许茹：杀了那么多人的医生们，你们怕不怕？
n3556194,掸尘：罪恶的“按需杀人”
n3557699,刘晓：强摘器官问题现美非移民签证申请表在警告谁？
n3559319,林子旭：网络解禁冲击波
n3560094,史达：胡、习 中央最大的软肋
n3563876,邓艾瑾：薄熙来自食其果  丧钟为作恶者而鸣
n3565115,【郦剑锋】：胡温面临的五大关键点及其出路
n3566756,【陈思敏】：王立军揭出的真相 中国人民岂能不知
n3567504,【周晓辉】：集“十大恶人”之恶于一身的周永康
n3567514,李美莲：周永康到底犯有几宗罪？（3）
n3568219,夏祷：论中共活摘人体器官的终极黑暗
n3569118,九天剑：寻找四万失踪者
n3569378,大陆读者投书：中共活摘器官 人类毁灭性的痛苦
n3569890,【邢天行】：王立军与他的神秘研究中心
n3570174,【杨宁】看看大陆武警医院如何挣黑心钱
n3576721,李敬：温家宝凭吊奥斯维辛集中营、满怀悲愤
n3578486,【朱婉琪】：大审江血债派是历史需要
n3579122,【石静笛】：政法委处级以上官员知晓的秘密
n3579725,林子旭：李长春电话录音背后的玄机
n3579591,【特稿】中共高层政治海啸中的道义抉择
n3591289,【郦剑锋】：以什么名义清除血债派？
n3595080,楚一丁：美国政府对活摘器官的表态
n3597875,【史达】：纸包不住火 美国政府公开谈及活摘器官
n3597790,【杨宁】：美政府最新报告认同活摘器官来源昭示什么？
n3603499,陈刚 : 从六四屠杀到活摘器官
n3604429,【九天剑】：丢掉幻想 准备下葬
n3605877,【陈思敏】：环球时报实在是太环球时报了
n3611411,九天剑：嗜血“天使”末日
n3611688,佟新：毁灭证据就能逃过正义的审判吗？
n3615561,【石静笛】：德国医学界道歉了 中国呢？
n3617646,【刘晓】：王立军交美重磅材料将曝光谁最急？
n3620209,【石静笛】：死刑犯的器官不够之后
n3621662,王文怡: 中国移植医生的言论令人震惊 (一)
n3624361,王文怡：器官移植，中国医生的骇人言论(三)
n3634717,【杨宁】：华盛顿集会向中南海传递的重要信息
n3635358,【刘晓】：美国议员发言证实王立军交美重磅材料属实
n3635551,【杨宁】：奥巴马愿同中国人一起推倒中共这堵暴政之墙吗？
n3637023,【陈思敏】：恸！他们都是中国人哪！
n3638827,【陈思敏】：中国一个不能碰触的禁忌
n3639171,唐恩：反迫害十三载　人心觉醒正义显
n3639710,大卫‧麦塔斯：为什么要关心法轮功学员被活摘器官？
n3640894,【刘晓】：党媒报导德国器官移植丑闻反揭中共罪恶
n3641205,【玉清心】：24届器官移植大会上 为什么中国医生受限？
n3641222,【杨宁】：为何参加国际会议的中国医生行动受限？
n3643941,横河：专家如何看中国的器官移植
n3651480,【王文怡】：从薄谷开来被审 看周、薄、王在活摘器官中的罪恶(一)
n3651970,齐铭：中共试图如此解释“活体器官”？！
n3652025,张敬仁：中共自曝活摘器官为哪般？
n3653685,【玉清心】：发布破获出卖人体器官“黑中介” 为掩盖什么
n3655234,阚斐：中共为何公开承认回避已久的活摘器官事件
n3656100,【章天亮】：谷开来案中比谋反更深的黑幕
n3657320,【颜丹】：中共当局还是别拿“黑中介”说事
n3657510,王北明：锦州205医院网站为什么被关?
n3657700,李天笑：中共无法承负谷开来罪恶之重
n3658222,【杨宁】：史上十大女杀人狂难望谷开来项背
n3658681,【九天剑】:最毒不过女匪心
n3659439,【周晓辉】：谷开来的罪恶能与薄熙来切割吗？
n3659831,【夏小强】：网络压力展览公司抛免责声明 薄谷案再添变数
n3660430,【周晓辉】：薄谷夫妇罪恶涉器官及尸体贩卖
n3660812,张粟田：活摘器官盗卖遗体 中共是祸根
n3662120,【石静笛】：中共为何要让死刑犯注射死
n3662077,【周晓辉】：哈根斯尸体加工厂的消失与王立军的出逃
n3662082,【杨宁】：注射方式执行死刑背后的罪恶
n3662346,华府法轮大法佛学会：紧急呼吁调查活摘法轮功学员器官真相
n3662433,邢仁涛：黑幕逼王立军叛逃 谷开来命运结局
n3663188,【邢天行】: 痛煞！为医科大学生的“屠夫”运命
n3665166,【玉清心】：从中共铤而走险 看要掩盖的黑幕之大
n3667485,唐恩：国际医学界谴责中共活摘器官
n3670500,唐恩：国际医学界谴责中共活摘器官(二)
n3672749,追查国际发布关于活摘器官的最新调查报告
n3676069,沉静：从张志新遗骨之谜谈起
n3676238,【邢天行】：盯住，吃人的狼们
n3676247,唐恩：一部电影与两本书
n3679854,【陈思敏】：因为这本书 中南海日夜坐立难安
n3681849,齐铭：中共准备好揭开活体器官移植黑幕了吗？
n3681879,【陈思敏】：北京解放军304医院惊天活体器官的背后
n3682270,张敬仁：美国国会直逼中共死穴
n3682875,唐恩：两部电影 揭露活摘器官真相
n3683060,【石静笛】：网在收！活摘器官再成舆论焦点
n3683306,【陈思敏】：人类必须面对的活摘器官真相
n3684698,惊天罪恶就在身边 吾辈能否沉默？(3)
n3684705,郑欣然：“人与兽”的检测 攸关生命
n3684725,【玉清心】：她被活摘  谁说凶手难查？
n3684740,【陈思敏】：别退回噬血食人的野蛮时代
n3685233,【石静笛】：王立军审判和反日游行高潮的蹊跷重合
n3685515,【陈思敏】：中国人究竟要如何爱中国
n3685947,【杨宁】：王立军死不了是在为将来的大审判做准备
n3687040,【陈思敏】：不想被活摘器官 请从当下开始发声
n3687201,【方林达】：王立军揭发“他人违法犯罪线索”是什么？
n3687781,海网：中共最怕问活摘
n3687988,【郑欣然】：村落里有户“盗卖器官的”
n3688030,千美：中共已进入被清算阶段
n3688232,【玉清心】：不公诉活摘罪 审薄怎么审也没戏
n3688274,【九天剑】：十万冤魂化天兵
n3688296,【周晓辉】：日内瓦会议热议话题点到中共死穴
n3689783,【周晓辉】：加剧封网－－日内瓦人权会议为何让中共惊惧
n3689898,【方林达】：活摘器官罪行－－中共高层无法绕过的死结
n3690545,【周晓辉】：王立军最该对谁深深地忏悔？
n3691478,【邢天行】:这不是宣传，这是真实发生的事情
n3691482,【金紫元】:人吃人是中共“国家机密”
n3691902,【陈思敏】：从王立军案看人民已没那么好骗
n3692316,【周晓辉】：两年轻男女现身联合国会议 掀中共高层博弈惊天黑幕
n3692325,【颜丹】：由一次幸运的器官移植手术说起
n3693199,【玉清心】：全球围剿“活摘器官”
n3693184,【刘晓】：拒绝相信纳粹毒气室与质疑活摘器官
n3694094,【杨宁】：从此与中秋节无缘的薄谷不应有恨
n3694247,【方林达】：微博解禁“活摘器官” 抓捕周永康“伏笔”？
n3694166,筱岗: 台湾的失败和中共的胜利
n3694519,杜阳明：薄熙来罪行仅仅是违纪违法吗？
n3697828,【夏小强】：为何江派媒体放风“薄熙来涉活摘器官”？
n3697872,王北明：会行走的器官
n3697949,楚一丁：王立军为何揭活摘黑幕
n3698811,【杨宁】：薄熙来哪些罪名适用高层黑老大周永康？
n3699424,丹麦议员就中共活摘罪行 提请政府关注
n3699674,千美：中国器官移植黑幕惊人 警惕参与间接杀人
n3700023,【章天亮】：处理薄熙来案的最大变数
n3700030,张敬仁：百位国会议员的联名信将带来什么？
n3700031,【陈思敏】：卫生部副部长爆料 真相到底在哪里？
n3700231,古仁达：活摘器官 美国议员在行动 你无动于衷吗？
n3700557,【杨宁】：活摘器官事件－－奥巴马的严肃考验
n3700648,德国人体塑化创始人哈根斯患帕金森病重
n3701219,【玉清心】：两条新线索 解释多余器官来源
n3701255,高翔：对活摘器官的态度是人与非人的分水岭
n3701588,唐浩：奥巴马公布活摘器官内幕时机到了
n3701620,齐铭：薄案背后黑幕呼之欲出  中共如何面对活摘案？
n3701639,任百鸣：这一瞬间美国的未来被定格
n3702098,【郑欣然】：聚焦奥巴马和习近平的动作大片
n3700899,秋尚：10万补贴藏阴谋
n3702329,千美：看哈根斯的今天 中国医生需反思
n3702523,李晓阳：“红朝”能否实现“软切割”？
n3703053,横河：中共是如何自爆其活摘罪行的
n3703150,【夏小强】：大局已定 中共政局“变数”不是常委名单
