n3550420,看守所替身顶死黑幕 新华社文章暗指周永康罪证
n3647379,薄谷开来被诉：刑事案？政治案？(3)
n3654942,追查国际：与王立军合作的移植医生承认摘取法轮功学员器官
n3690753,前公安续爆中共杀人摘器官
n3729223,中共活体摘取法轮功学员器官报告（八）
n3730493,追查国际：关于塑化人体标本尸体来源的调查报告
n3732018,中共活体摘取法轮功学员器官报告（十二）
n3732993,中共活体摘取法轮功学员器官报告（十三）
n3734642,中共活体摘取法轮功学员器官报告（十五）
n3740673,追查国际：关于塑化人体标本尸体来源调查报告
n3740736,追查国际录音:大连洪峰承认用法轮功学员作人体标本
n3743552,中共活摘器官罪行曝光 国际大事记（一）
n3834715,调查线索：沈阳医院移植心脏十天找到
n3847950,调查线索：亲耳听到“苏家屯”
n3952602,报告:中共涉用法轮功学员进行活人人体死亡过程试验
n3963792,追查国际关于中共活摘法轮功学员器官证据专辑（1）
n3964268,追查国际关于中共活摘法轮功学员器官证据专辑（2）
n3966634,追查国际关于中共活摘法轮功学员器官证据专辑3
n3969557,【独家】薄熙来圈内知情者曝其贪腐清单及中共隐瞒反人类罪
n3966668,追查国际调查：李长春承认周永康具体负责活摘器官
n4044366,调查线索：吉林女子监狱涉嫌活摘器官
n4140084,最新报告披露中共掩盖移植器官真实来源
n4206955,欧洲理事会颁公约反对人体器官贩运
n4258255,追查国际发布中共活体摘取法轮功学员器官新证据
n4259055,追查1814名大陆医生涉嫌参与活摘法轮功学员器官
n4261268,追查录音曝江泽民直接下令用法轮功学员器官做移植
n4263864,原总后卫生部长: 江泽民亲自下令用法轮功器官做移植
n4278462,曾庆红郭伯雄梁光烈涉活摘器官 追查国际调查取证
n4279686,梁光烈2年前访美举止异常或有原因
n4284769,2108名大陆军医涉活摘器官 追查国际第二批名单出炉
n4286244,中共三前常委和二军头间接承认涉大案
n4299154,追查国际：中共活摘法轮功学员器官的屠杀仍在进行
n4584075,追查国际：中共活摘法轮功学员器官没停反增
n4608794,追查国际：大陆医学论文泄中共活摘器官证据
n4613428,追查国际发布中共大量活摘器官国家犯罪调查报告
n4637546,玉清心：参与活摘器官医生频遭恶报的警示
n8014122,一位女儿的父亲节之殇
n8020684,美国343号决议案背后的血与泪
n8109067,追查国际：610警察亲口承认参与活摘器官
n8124823,悼念十七年来被中共虐杀的法轮功学员
n8828153,专家讲座：中共活摘器官-国家犯罪罪证
n10897744,活摘器官新证 追查国际公布17个录音调查
n11218301,追查国际：中共活摘器官犯罪还在继续
n11330691,英法庭： 制止中共活摘器官 全世界有责任
n11538883,欧洲移植大会 中共掠夺器官再成焦点
n11838359,追查国际报告：中共解放军西京医院活摘器官
n11917733,2019年追查国际对中共活摘人体器官调查
n12326366,10天4颗心脏 中共器官按需供给引忧
n12671234,多少中共高官泄漏中共活摘人体器官（1）
n13013820,活摘器官你真了解？来龙去脉图解一次看懂
