n1248687,沈阳集中营设焚尸炉 售法轮功学员器官
n1249798,沈阳司法局：有集中营又如何呢？
n1249825,苏家屯集中营黑幕惊人 焚尸炉常冒白烟
n1252518,沈阳集中营设焚尸炉 售法轮功学员器官
n1254892,苏家屯内幕：建于地下 程序化操作
n1257210,苏家屯黑幕曝光 全球谴责吁调查
n1257362,证人现身指证苏家屯集中营 摘活体器官
n1258729,苏家屯集中营的血腥黑幕
n1259877,沈阳苏家屯秘密集中营更多图片资料
n1259894,大陆医院﹕移植器官来自健康活体
n1260002,来自苏家屯的最新消息
n1260648,主刀医生太太揭苏家屯器官摘除黑幕（续）
n1263551,人命关天 电话爆量苏家屯 官员忙踢皮球
n1265572,被问苏家屯 中共领事“废话”收场
n1268193,怀明：苏家屯庞大地下工事群
n1268777,李伟勋：苏家屯集中营事件的可能性见证
n1270319,苏家屯案曝光三周 中共官方首次回应
n1270831,中共在苏家屯血栓医院加强监视
n1271510,【中国聚焦】评“苏家屯集中营”曝光之意义
n1271996,沈阳军区老军医指证苏家屯集中营内幕
n1272262,联合国人权委员会调查苏家屯集中营传闻
n1272579,苏家屯集中营事件 联合国着手调查
n1272882,联合国特使将调查苏家屯黑幕
n1272892,澳洲《先驱太阳报》报苏家屯集中营惨案
n1272939,《国家评论》一个叫苏家屯的地方
n1273018,齐家贞：苏家屯案不会是空穴来风
n1273076,珊洁：沈阳老军医所言解开了我心中的迷
n1273160,林泉：人体作为工业原料的用途
n1273226,德国人权组织成员要求调查苏家屯贩卖器官一事
n1273232,希望之声愿派记者前往调查苏家屯专案
n1273353,我的弟弟在哪里？
n1273488,美敦促中国查苏家屯集中营活体摘除器官指控
n1274345,马国新闻网再度转载苏家屯集中营相关新闻
n1275942,呼吁联合国 不仅仅要调查一个“苏家屯”
n1276116,【苏家屯系列访谈】郭军﹕苏家屯事件的来龙去脉
n1276301,沈阳和辽宁人防网的关闭说明了什么?
n1276487,电话如何影响医院正常运作：回卫视凤凰台
n1276489,请关注苏家屯近期施工情况
n1276573,林泉：关于“人体革命化处理 作为食物”的理解
n1276689,葛特曼：你会记住这个名字“苏家屯”
n1277265,医学专家：苏家屯有大型活体器官库
n1277375,江泽民：让关进去的人不可能再出来
n1278087,法轮大法学会成立调查苏家屯真相委员会
n1278480,大纪元：不能在等待中让罪恶加剧
n1278494,沈阳器官移植中心“活体器官广告”
n1278872,剧本：活体罪恶 (上)
