n3692723,“医生反对强制器官活摘组织”向美国驻联合国大使递交请愿书
n3710691,各国民众签名 谴责中共活摘器官
n3711809,加中国问题专家：活摘证据曝光将震惊世界
n3712913,不制止活摘法轮功学员器官才是大问题
n3726019,“医生反强摘器官”义工圣地亚哥传真相
n3727550,台湾逾900位医生 连署反对中共活摘器官
n3730165,18大结束前 逾千台医师连署反中共活摘器官
n3732520,台立委声援逾千医师连署反中共活摘器官
n3736146,卫生部副部长称2年内器官移植不再依赖死囚 网络沸腾
n3739450,全球首位成功移植器官医生去世 中共活摘再受关注
n3741520,台立院决议 境外器官移植需术后登录
n3743174,反中共器官掠夺   台中医界挺身连署
n3744825,台卫生署长亲接医生反活摘连署并提因应
n3745167,向白宫请愿 “您的签名可以拯救生命”
n3751427,投书：在美国以外的人士 如何在白宫网站签名
n3755884,德国医疗数据统计专家四年调研证活摘
n3757051,700欧洲政要及名流等吁查中共活摘器官 联合国收函
n3789474,欧议会举办中共信仰迫害听证会 直指活摘器官
n3801567,重庆医大一院涉嫌活摘7名法轮功学员器官
n3835245,肝移植界权威：世界移植界知道中共强摘器官
n3876233,黄洁夫为不道德获取器官辩护 -欲盖弥彰
n3878774,澳联邦参议员将提法案制止中国活摘器官
n3919863,工笔画《天谴邪恶》揭露活摘器官
n3944850,【热点透视】审薄前党媒报导器官分配释放两个信息
n3954006,了解真相 迎接新学年
n4031197,全球150万人签名反强摘器官 国际人权日送达联合国
n4033858,大陆民众300人签名 吁彻查周永康活摘器官罪行
n4091211,投书：十多年前成都市锦江区法院贩卖活人器官的人肉宴!
n4113000,EESC：应在习访欧期间提出活摘器官问题
n4247825,全球移植医生都知道中共活摘法轮功学员器官
n4287718,加拿大主流媒体关注中共活摘器官
n4305114,英国国会大厦内举办反对中共强摘器官研讨会
n4304920,281号决议案吁制止中共活摘  南加民众征签
n4442363,澳洲墨尔本集会揭中共活摘罪恶 民众震惊
n4473108,国际人权律师南澳公众论坛演讲
n4481754,汪志远：活摘器官是江泽民指挥的纳粹式犯罪
n4486565,媒体报导 澳纽省小镇居民签名呼吁制止活摘
n4571345,台海洋大学举办制止活摘器官作品展
n4572499,美肾脏医学年会 医生反对中共强摘器官
n4573287,玉清心：郑州市人民医院肝移植科哪去了？
n4607961,《活摘》中文版网络正式发行
n7970971,欧洲议会大楼前 各界人士谴责中共活摘器官
n7978252,纪录片《难以置信》纽约首映 活摘暴行引关注
n7987605,欧洲议会前证人讲述因家族病史而逃脱厄运
n7985854,12国法轮功学员吁欧议会调查中共活摘器官
n8050176,独立调查员欧洲议会提交中共活摘最新报告
n8072936,收红色资金？国际器官移植协会前主席被问责
n8076795,法国欧洲议会会场外 各界聚焦中共活摘器官
n8198498,辛子陵：李继耐廖锡龙因军队涉活摘被查
n8291404,玉清心：大陆游客说一个邻居换过二个肝
n8324315,李克强赴联合国 纽约人关注法轮功反迫害
n8329214,方政：了解并制止“活摘”是人们的使命
n8332738,资深媒体人：一起来揭露中共活摘罪行
n8360400,国殇日 旧金山民众签名反活摘
n8365686,南澳接力“反活摘SOS汽车之旅” 媒体关注
n8457926,加国会听证：中共大规模活摘器官新证曝光
n8465783,成批韩国人赴天津移植器官 黑幕重重
n8488039,大卫‧麦塔斯：掩盖使犯罪变得更恶劣
n8498674,斯坦福《活摘》放映会 如何制止罪恶成焦点
n8554993,《前所未有的邪恶迫害》日文版上市
