n1374486,欧议会副主席对活摘器官的调查报告
n1377183,加国活摘器官报告全文及摘要翻译
n1378115,加通社：加政府计划调查活摘器官指控
n1378271,加调查团成员反驳中共官方回应
n1378579,澳洲《时代报》：法轮功被杀摘取器官
n1378894,【热点互动】真相调查委员会新动态
n1378946,加国调查团回应中共使馆的声明
n1379467,对加拿大“独立调查”报告的联合声明
n1379757,《中共活体摘取法轮功学员器官独立调查报告》
n1379765,孙文广支持加拿大独立调查报告 促国际调查
n1379767,港前哨杂志刘达文支持独立小组调查报告
n1379808,加计划调查中共活摘器官事件
n1380461,向加拿大致敬
n1382406,《前哨》总编支持加国独立调查报告
n1382590,追查国际就加独立调查团《报告》的声明
n1383545,澳媒体广泛报导加国证实活摘器官报告
n1384596,马国法轮功学员呈交调查团报告和呼吁调查征签
n1384934,深入调查中国活体摘除器官事件  华府法轮功学员吁国际社会加入
n1385136,学者促国际支持摘器官调查
n1386169,加拿大拟联合欧美调查活摘器官真相
n1386759,活摘器官调查 欧政要联手加国调查员
n1386812,活摘器官调查  欧加联手
n1386805,欧洲议会政要要求欧盟调查中共活摘器官真相
n1386823,比利时各媒体报导中共非法买卖器官
n1386993,丹麦新闻社：中共贩卖法轮功器官
n1389008,时事经纬 第34集-横河：加拿大独立调查团报告及对中使馆声明的反驳
n1389077,加调查员促香港通报器官移植
n1393327,港议员加入活摘器官调查团
n1396232,澳参议员加入调查团 确保公众了解真相
n1396453,活体器官摘除的人证和幸存者被捕
n1398778,民进党：中共需正视“独立调查报告”
n1404562,记者无疆界关注活摘器官调查
n1404563,外电报导﹕中共从囚犯活体上摘取器官牟利
n1408599,柳南：活摘器官指控，中共面临空前挑战
n1409199,中共活摘器官被证实－专访独立调查团
n1409807,加拿大关于中共活取法轮功学员器官调查报告（一）
n1409810,加拿大关于中共活取法轮功学员器官调查报告（二）
n1410765,基督教箴言报:中共涉嫌盗取器官
n1418127,日媒：法轮功学员脏器遭中共活摘
n1423726,西方政要访澳吁联合国调查中共活摘器官
n1423749,揭中共活摘器官欧洲高官抵达坎培拉
n1423861,澳媒关注加欧澳政要共商揭活摘器官惨案
n1424831,澳洲政府支持独立调查中共活摘器官指控
n1426294,活摘器官报告 澳洲ABC电视专访大卫乔高
n1424273,英国会议员呼吁调查中共活摘器官事件
n1426959,澳就活摘器官独立调查达成跨党派共识
n1432285,欧加政要墨尔本揭中共活摘器官报告会
n1432887,欧加政要布里斯本揭中共活摘器官
n1433019,西方政要新西兰吁国际调查中共活摘器官
n1433565,新西兰研讨会 吁国际调查中共活摘器官
n1434892,新西兰各党派议员听取活体摘除法轮功学员器官的调查报告
n1435731,欧议会副主席宣布加入活摘器官调查团
n1437832,乔高：每个人都要做一点事情
n1437834,纽国际大赦主席：支持进行国际调查
n1437938,乔高到访南加 吁公众共同制止活摘器官
n1438802,乔高:中共活摘人体器官 与奥运精神背道而驰
n1447715,时事经纬 第41集－横河：江选泄露“国家机密”
n1450952,活摘器官报告会 丹麦议员敦促政府关注
n1452979,前加拿大国会议员将发动抵制2008中国奥运
n1454698,乔高调查活摘器官报告法国受关注
n1454861,欧委会议员为法轮功的最基本权利发声
n1456681,加调查员美国会山揭中共活摘器官
n1463256,联合国会议讨论活摘器官 中共搅局
n1467602,欧加政要墨尔本揭中共活摘器官问答(2)
n1472419,美国会听证中共摘法轮功学员器官指控
n1477125,调查小组在加报告对中共活摘器官调查结果
n1477499,加国家记者俱乐部首次探讨中共活摘器官
n1481754,加议员：三退是中国真正的出路
n1481925,乔高香港行 吁关注活摘器官
n1481940,加国人权律师新加坡揭中共活摘器官
n1484332,加国政要调查中共盗摘器官
n1484740,乔高拜会台法务部 吁加入抵制中共活摘器官
n1485152,大卫‧麦塔斯马国传达活摘器官报告引各界关注
n1485219,马国人权律师加入活摘器官调查团
n1485342,台司改会支持调查法轮功受迫害活动
n1486195,加独立调查 18类证据证实中共活摘器官
n1486565,拯救人权  加国专家吁勿至中国做器官移植
n1486876,法广：大卫∙乔高和大卫∙麦塔斯在台湾
n1487749,吕秀莲指活摘器官是恐怖的重大事件
n1488294,麦塔斯提11项建言 吁台湾支持跨国调查
n1489310,日评论家：日政府应 直视中共提出抗议
n1490306,法广：加拿大独立调查指证中国活摘器官
n1493155,BBC回应中共卫生部：贩器官报导准确
n1493251,杨军解密金属风暴 两大卫揭露活摘器官
